2026-01-27T17:24:30.943446 | LIARA_ACTIVATED | Galahad
2026-01-27T17:24:30.944461 | LIARA_REVOKED | pillar_restored
2026-01-27T17:24:30.954246 | LIARA_BLOCKED | cooldown_active
2026-01-27T17:24:40.148069 | ATTEMPTED_VIOLATION | {'kind': 'HYDRA_EFFECT', 'detail': 'expansion_attempt'}
2026-01-27T17:26:48.519418 | BOUNDARY_BLOCK | missing_tarl
2026-01-27T17:26:48.522792 | BOUNDARY_ACCEPT | deadbeef
2026-01-27T17:26:48.528042 | POLICY_BLOCK | self_modify
2026-01-27T17:26:48.530579 | POLICY_ALLOW | read
2026-01-27T17:26:48.537145 | ATTEMPTED_VIOLATION | {'kind': 'HYDRA_EFFECT', 'detail': 'expansion_attempt'}
2026-01-27T17:28:44.780054 | BOUNDARY_ACCEPT | abc
2026-01-27T17:28:44.782055 | POLICY_ALLOW | read
2026-01-28T06:37:14.116423 | BOUNDARY_BLOCK | missing_tarl
2026-01-28T06:37:14.117223 | BOUNDARY_ACCEPT | deadbeef
2026-01-28T06:37:14.117906 | POLICY_BLOCK | self_modify
2026-01-28T06:37:14.118497 | POLICY_ALLOW | read
2026-01-28T06:37:14.119150 | ATTEMPTED_VIOLATION | {'kind': 'HYDRA_EFFECT', 'detail': 'expansion_attempt'}
2026-02-23T12:37:23.514767 | POLICY_BLOCK | self_modify
2026-02-23T12:37:23.517316 | POLICY_ALLOW | read
2026-02-23T12:39:53.168168 | POLICY_BLOCK | self_modify
2026-02-23T12:39:53.170702 | POLICY_ALLOW | read
2026-02-23T12:39:53.172424 | POLICY_ALLOW | compute
2026-02-23T12:39:53.174613 | POLICY_ALLOW | analyze
2026-02-23T12:39:53.176735 | POLICY_BLOCK | delete
2026-02-23T12:39:53.177816 | POLICY_BLOCK | write
2026-02-23T12:39:53.179592 | POLICY_BLOCK | 
2026-02-23T12:41:58.662636 | POLICY_BLOCK | self_modify
2026-02-23T12:41:58.664920 | POLICY_ALLOW | read
2026-02-23T12:41:58.666434 | POLICY_ALLOW | compute
2026-02-23T12:41:58.668791 | POLICY_ALLOW | analyze
2026-02-23T12:41:58.669873 | POLICY_BLOCK | delete
2026-02-23T12:41:58.672263 | POLICY_BLOCK | write
2026-02-23T12:41:58.674345 | POLICY_BLOCK | 
2026-02-23T13:38:08.768404 | POLICY_BLOCK | self_modify
2026-02-23T13:38:08.781971 | POLICY_ALLOW | read
2026-02-23T13:38:08.783025 | POLICY_ALLOW | compute
2026-02-23T13:38:08.783025 | POLICY_ALLOW | analyze
2026-02-23T13:38:08.786073 | POLICY_BLOCK | delete
2026-02-23T13:38:08.786614 | POLICY_BLOCK | write
2026-02-23T13:38:08.788653 | POLICY_BLOCK | 
