github.com/AlDanial/cloc v 2.06  T=11.52 s (212.7 files/s, 112869.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Markdown                      1458         161520            682         554524
JSON                            52             10              0         345002
Python                         478          20879          19599          75352
HTML                           103           2725            537          30893
Text                            61           5817              0          27542
YAML                           100           2244            395          23824
JavaScript                      38           1414           1774           7460
CSS                             16            496            143           3624
C#                              16            460            575           2180
PlantUML                        13            352             19           1398
TOML                            38            111             34           1032
PowerShell                       8            191            126           1004
TeX                              1            226             45            910
CSV                              7              0              0            820
Bourne Shell                     8            139            274            689
SVG                             14             27             29            600
TypeScript                      11             39              1            496
DOS Batch                        3             87             35            323
XML                              5             10             10            307
Rust                             2             18              1            180
Kotlin                           3             22              0            147
HCL                              1              4              2             79
TLA+                             2             21             14             61
Dockerfile                       4              4              3             60
Gradle                           3              9              0             56
diff                             1              0              7             44
INI                              1              5              0             16
Properties                       2              0              0             10
-------------------------------------------------------------------------------
SUM:                          2449         196830          24305        1078633
-------------------------------------------------------------------------------
