2026-03-16T05:46:36.176646+00:00 | LIARA_TTL_EXPIRED | Automatic revocation enforced.
2026-03-16T05:46:36.177536+00:00 | FATES_FORECAST_GENERATED | Confidence: 0.87
2026-03-16T05:46:36.178043+00:00 | FATES_FORECAST_GENERATED | Confidence: 0.87
2026-03-16T05:55:31.179525+00:00 | FATES_FORECAST_GENERATED | Confidence: 0.87
2026-03-16T05:55:31.180533+00:00 | SRP_THREAT_DETECTED | BGP-DNS-poison
2026-03-16T05:55:31.180533+00:00 | LIARA_ACTIVATED | pillar_alpha
2026-03-16T05:55:31.180533+00:00 | SRP_LIARA_ENFORCED | pillar_alpha
2026-03-16T05:55:31.181535+00:00 | LIARA_REVOKED | pillar_restored
2026-03-16T05:55:31.183283+00:00 | SRP_PROOF_COMPLETE | Substrate Validated
2026-03-16T06:05:12.611322+00:00 | FATES_FORECAST_GENERATED | Confidence: 0.87
2026-03-16T06:05:12.611322+00:00 | SRP_THREAT_DETECTED | BGP-DNS-poison
2026-03-16T06:05:12.611322+00:00 | LIARA_ACTIVATED | pillar_alpha
2026-03-16T06:05:12.612828+00:00 | SRP_LIARA_ENFORCED | pillar_alpha
2026-03-16T06:05:12.619457+00:00 | SRP_PROOF_COMPLETE | Substrate Validated
2026-03-16T06:11:24.720041+00:00 | FATES_FORECAST_GENERATED | Confidence: 0.87
2026-03-16T06:11:24.721040+00:00 | SRP_THREAT_DETECTED | BGP-DNS-poison
2026-03-16T06:11:24.721040+00:00 | LIARA_ACTIVATED | pillar_alpha
2026-03-16T06:11:24.721546+00:00 | SRP_LIARA_ENFORCED | pillar_alpha
2026-03-16T06:11:24.721546+00:00 | LIARA_REVOKED | pillar_restored
2026-03-16T06:11:24.733795+00:00 | SRP_PROOF_COMPLETE | Substrate Validated
