"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
".github/AUTOMATION_QUICKREF.md",".github",".github","AUTOMATION_QUICKREF.md",".md","4253","4.153","2026-04-01T15:27:59.2741702Z","2.522","True","False","185","119","3825","20.676","86"
".github/AUTOMATION.md",".github",".github","AUTOMATION.md",".md","16261","15.88","2026-04-01T15:27:59.2650102Z","2.522","True","False","577","401","13717","23.773","133"
".github/BRANCH_PROTECTION.md",".github",".github","BRANCH_PROTECTION.md",".md","9355","9.136","2026-04-01T15:27:59.2759985Z","2.522","True","False","271","208","8753","32.299","216"
".github/CODEOWNERS",".github",".github","CODEOWNERS","[no-ext]","5164","5.043","2026-03-29T00:58:25.3799669Z","6.125","True","False","89","72","4986","56.022","113"
".github/copilot_workspace_profile.md",".github",".github","copilot_workspace_profile.md",".md","20995","20.503","2026-04-01T15:27:59.3332066Z","2.522","True","False","620","434","19739","31.837","357"
".github/dependabot.yml",".github",".github","dependabot.yml",".yml","2278","2.225","2026-03-29T00:58:25.3906207Z","6.125","True","False","97","93","2064","21.278","76"
".github/GITHUB_SECURITY_COMPLIANCE.md",".github",".github","GITHUB_SECURITY_COMPLIANCE.md",".md","11918","11.639","2026-04-01T15:27:59.2780928Z","2.522","True","False","377","279","11036","29.273","248"
".github/INTEGRATION_VERIFICATION.md",".github",".github","INTEGRATION_VERIFICATION.md",".md","3330","3.252","2026-04-01T15:27:59.2822191Z","2.522","True","False","106","78","3114","29.377","94"
".github/ISSUE_AUTOMATION.md",".github",".github","ISSUE_AUTOMATION.md",".md","10868","10.613","2026-04-01T15:27:59.2858011Z","2.522","True","False","391","263","10074","25.765","210"
".github/issue-automation-config.yml",".github",".github","issue-automation-config.yml",".yml","5141","5.021","2026-03-29T00:58:25.3926214Z","6.125","True","False","199","158","4737","23.804","94"
".github/labeler.yml",".github",".github","labeler.yml",".yml","1951","1.905","2026-03-29T00:58:25.3936213Z","6.125","True","False","101","88","1749","17.317","65"
".github/PRODUCTION_READINESS_ASSESSMENT.md",".github",".github","PRODUCTION_READINESS_ASSESSMENT.md",".md","15111","14.757","2026-04-01T15:27:59.3035628Z","2.522","True","False","439","305","14107","32.134","214"
".github/pull_request_template.md",".github",".github","pull_request_template.md",".md","9913","9.681","2026-04-01T15:27:59.3429228Z","2.522","True","False","265","182","9359","35.317","276"
".github/README.md",".github",".github","README.md",".md","76429","74.638","2026-04-04T02:51:55.4675065Z","0.047","True","False","1642","1264","67458","41.083","301"
".github/SECURITY_ADVISORY_TEMPLATE.md",".github",".github","SECURITY_ADVISORY_TEMPLATE.md",".md","4840","4.727","2026-04-01T15:27:59.3192750Z","2.522","True","False","175","130","4490","25.657","280"
".github/SECURITY_AUTOMATION.md",".github",".github","SECURITY_AUTOMATION.md",".md","15136","14.781","2026-04-01T15:27:59.3226294Z","2.522","True","False","616","407","12788","20.76","166"
".github/SECURITY_VALIDATION_CHECKLIST.md",".github",".github","SECURITY_VALIDATION_CHECKLIST.md",".md","8273","8.079","2026-04-01T15:27:59.3256434Z","2.522","True","False","265","183","7729","29.166","179"
".github/SECURITY_VALIDATION_POLICY.md",".github",".github","SECURITY_VALIDATION_POLICY.md",".md","10320","10.078","2026-04-01T15:27:59.3286759Z","2.522","True","False","289","197","9716","33.619","260"
".github/actions/run-security-scan/action.yml",".github",".github\actions\run-security-scan","action.yml",".yml","2997","2.927","2026-03-29T00:58:25.3886211Z","6.125","True","False","85","76","2821","33.188","77"
".github/actions/setup-node-env/action.yml",".github",".github\actions\setup-node-env","action.yml",".yml","1084","1.059","2026-03-29T00:58:25.3886211Z","6.125","True","False","37","35","1010","27.297","63"
".github/actions/setup-python-env/action.yml",".github",".github\actions\setup-python-env","action.yml",".yml","2136","2.086","2026-03-29T00:58:25.3896213Z","6.125","True","False","69","63","1998","28.957","88"
".github/instructions/ARCHITECTURE_QUICK_REF.md",".github",".github\instructions","ARCHITECTURE_QUICK_REF.md",".md","11791","11.515","2026-04-01T15:27:59.3358042Z","2.522","True","False","282","210","8113","28.77","108"
".github/instructions/codacy.instructions.md",".github",".github\instructions","codacy.instructions.md",".md","4659","4.55","2026-04-01T15:27:59.3414034Z","2.522","True","False","106","77","4447","41.953","413"
".github/instructions/IMPLEMENTATION_SUMMARY.md",".github",".github\instructions","IMPLEMENTATION_SUMMARY.md",".md","8408","8.211","2026-04-01T15:27:59.3388262Z","2.522","True","False","252","182","7724","30.651","96"
".github/ISSUE_TEMPLATE/bug_report.md",".github",".github\ISSUE_TEMPLATE","bug_report.md",".md","1033","1.009","2026-04-01T15:27:59.2898707Z","2.522","True","False","45","33","943","20.956","68"
".github/ISSUE_TEMPLATE/cli_proposal.md",".github",".github\ISSUE_TEMPLATE","cli_proposal.md",".md","2403","2.347","2026-04-01T15:27:59.2913902Z","2.522","True","False","114","71","2175","19.079","77"
".github/ISSUE_TEMPLATE/custom.md",".github",".github\ISSUE_TEMPLATE","custom.md",".md","283","0.276","2026-04-01T15:27:59.2948994Z","2.522","True","False","12","10","259","21.583","68"
".github/ISSUE_TEMPLATE/feature_request.md",".github",".github\ISSUE_TEMPLATE","feature_request.md",".md","775","0.757","2026-04-01T15:27:59.2974193Z","2.522","True","False","24","18","727","30.292","92"
".github/scripts/annotate_junit.py",".github",".github\scripts","annotate_junit.py",".py","2919","2.851","2026-04-01T15:27:59.3444436Z","2.522","True","False","93","76","2733","29.387","88"
".github/scripts/security_remediation.py",".github",".github\scripts","security_remediation.py",".py","13082","12.775","2026-04-01T15:27:59.3459724Z","2.522","True","False","371","291","12270","33.073","91"
".github/scripts/security_verification.py",".github",".github\scripts","security_verification.py",".py","12433","12.142","2026-04-01T15:27:59.3490908Z","2.522","True","False","317","268","11735","37.019","110"
".github/scripts/test-automation.sh",".github",".github\scripts","test-automation.sh",".sh","3343","3.265","2026-03-29T00:58:25.3966208Z","6.125","True","False","107","96","3095","28.925","103"
".github/workflows/ai_takeover_reviewer_trap.yml",".github",".github\workflows","ai_takeover_reviewer_trap.yml",".yml","10208","9.969","2026-03-29T00:58:25.4044653Z","6.125","True","False","279","223","9612","34.452","124"
".github/workflows/AUTO_PR_QUICK_REF.md",".github",".github\workflows","AUTO_PR_QUICK_REF.md",".md","4750","4.639","2026-04-01T15:27:59.3501006Z","2.522","True","False","202","130","4310","21.337","110"
".github/workflows/AUTO_PR_SUMMARY_ANALYSIS.md",".github",".github\workflows","AUTO_PR_SUMMARY_ANALYSIS.md",".md","5374","5.248","2026-04-01T15:27:59.3540235Z","2.522","True","False","170","121","5020","29.529","244"
".github/workflows/AUTO_PR_SYSTEM.md",".github",".github\workflows","AUTO_PR_SYSTEM.md",".md","13443","13.128","2026-04-01T15:27:59.3571304Z","2.522","True","False","395","267","11481","29.066","276"
".github/workflows/bandit.yml",".github",".github\workflows","bandit.yml",".yml","2479","2.421","2026-03-29T00:58:25.4201623Z","6.125","True","False","64","56","2351","36.734","140"
".github/workflows/ci.yml",".github",".github\workflows","ci.yml",".yml","2794","2.729","2026-03-29T00:58:25.4211622Z","6.125","True","False","104","87","2586","24.865","88"
".github/workflows/codeql.yml",".github",".github\workflows","codeql.yml",".yml","1209","1.181","2026-03-29T00:58:25.4221508Z","6.125","True","False","45","40","1119","24.867","63"
".github/workflows/CODEX_DEUS_MONOLITH.md",".github",".github\workflows","CODEX_DEUS_MONOLITH.md",".md","15542","15.178","2026-04-01T15:27:59.3616561Z","2.522","True","False","578","396","14342","24.813","351"
".github/workflows/codex-deus-ultimate.yml",".github",".github\workflows","codex-deus-ultimate.yml",".yml","88571","86.495","2026-03-29T00:58:25.4221508Z","6.125","True","False","2526","2141","83099","32.897","236"
".github/workflows/CONSOLIDATION_SUMMARY.md",".github",".github\workflows","CONSOLIDATION_SUMMARY.md",".md","8064","7.875","2026-04-01T15:27:59.3656850Z","2.522","True","False","236","179","7458","31.602","140"
".github/workflows/dependency-review.yml",".github",".github\workflows","dependency-review.yml",".yml","4103","4.007","2026-03-29T00:58:25.4231498Z","6.125","True","False","114","99","3863","33.886","115"
".github/workflows/deploy.yml",".github",".github\workflows","deploy.yml",".yml","3759","3.671","2026-03-29T00:58:25.4231498Z","6.125","True","False","121","103","3513","29.033","97"
".github/workflows/doc-code-alignment.yml",".github",".github\workflows","doc-code-alignment.yml",".yml","9130","8.916","2026-03-29T00:58:25.4251499Z","6.125","True","False","214","173","8278","38.682","160"
".github/workflows/enforce-root-structure.yml",".github",".github\workflows","enforce-root-structure.yml",".yml","7154","6.986","2026-03-29T00:58:25.4251499Z","6.125","True","False","179","157","6410","35.81","304"
".github/workflows/FINAL_REPORT.md",".github",".github\workflows","FINAL_REPORT.md",".md","12474","12.182","2026-04-01T15:27:59.3677169Z","2.522","True","False","424","298","11252","26.538","292"
".github/workflows/format-and-fix.yml",".github",".github\workflows","format-and-fix.yml",".yml","2284","2.23","2026-04-01T15:27:59.3842747Z","2.522","True","False","73","58","2138","29.288","83"
".github/workflows/generate-sbom.yml",".github",".github\workflows","generate-sbom.yml",".yml","7728","7.547","2026-03-29T00:58:25.4261494Z","6.125","True","False","235","184","6872","29.243","129"
".github/workflows/GOD_TIER_CODEX_COMPLETE.md",".github",".github\workflows","GOD_TIER_CODEX_COMPLETE.md",".md","20104","19.633","2026-04-01T15:27:59.3702422Z","2.522","True","False","742","541","18150","24.461","260"
".github/workflows/GOD_TIER_VALIDATION_100_PERCENT.md",".github",".github\workflows","GOD_TIER_VALIDATION_100_PERCENT.md",".md","14934","14.584","2026-04-01T15:27:59.3723037Z","2.522","True","False","527","384","13696","25.989","206"
".github/workflows/IMPLEMENTATION_SUMMARY.md",".github",".github\workflows","IMPLEMENTATION_SUMMARY.md",".md","11330","11.064","2026-04-01T15:27:59.3739448Z","2.522","True","False","362","270","10423","28.793","440"
".github/workflows/Monolith",".github",".github\workflows","Monolith","[no-ext]","3872","3.781","2026-03-29T00:58:25.4016256Z","6.125","True","False","134","118","3580","26.716","80"
".github/workflows/nextjs.yml",".github",".github\workflows","nextjs.yml",".yml","3743","3.655","2026-03-29T00:58:25.4271495Z","6.125","True","False","99","93","3545","35.808","147"
".github/workflows/production-deployment.yml",".github",".github\workflows","production-deployment.yml",".yml","7436","7.262","2026-03-29T00:58:25.4271495Z","6.125","True","False","251","212","6932","27.618","187"
".github/workflows/project-ai-monolith.yml",".github",".github\workflows","project-ai-monolith.yml",".yml","14316","13.98","2026-03-29T00:58:25.4271495Z","6.125","True","False","312","283","13516","43.321","160"
".github/workflows/README.md",".github",".github\workflows","README.md",".md","5129","5.009","2026-04-01T15:27:59.3764796Z","2.522","True","False","166","114","4751","28.62","111"
".github/workflows/RED_TEAMING_FRAMEWORK.md",".github",".github\workflows","RED_TEAMING_FRAMEWORK.md",".md","15818","15.447","2026-04-01T15:27:59.3780436Z","2.522","True","False","631","436","14502","22.983","315"
".github/workflows/SECURITY_CHECKLIST.md",".github",".github\workflows","SECURITY_CHECKLIST.md",".md","11693","11.419","2026-04-01T15:27:59.3805742Z","2.522","True","False","398","294","10595","26.621","208"
".github/workflows/security-secret-scan.yml",".github",".github\workflows","security-secret-scan.yml",".yml","3071","2.999","2026-03-29T00:58:25.4281495Z","6.125","True","False","76","68","2919","38.408","142"
".github/workflows/stale.yml",".github",".github\workflows","stale.yml",".yml","1994","1.947","2026-03-29T00:58:25.4281495Z","6.125","True","False","43","40","1908","44.372","104"
".github/workflows/tk8s-civilization-pipeline.yml",".github",".github\workflows","tk8s-civilization-pipeline.yml",".yml","19459","19.003","2026-03-29T00:58:25.4291493Z","6.125","True","False","577","511","18261","31.648","112"
".github/workflows/update-deployment-standard.yml",".github",".github\workflows","update-deployment-standard.yml",".yml","2419","2.362","2026-03-29T00:58:25.4291493Z","6.125","True","False","74","62","2269","30.662","130"
