"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
".gradle/file-system.probe",".gradle",".gradle","file-system.probe",".probe","8","0.008","2026-04-03T19:12:03.1717543Z","0.366","False","True",,,,,
".gradle/8.5/gc.properties",".gradle",".gradle\8.5","gc.properties",".properties","0","0","2026-04-03T19:02:55.2660000Z","0.372","True","False","0","0","0","0","0"
".gradle/8.5/checksums/checksums.lock",".gradle",".gradle\8.5\checksums","checksums.lock",".lock","17","0.017","2026-04-03T19:12:38.6995945Z","0.366","False","True",,,,,
".gradle/8.5/checksums/sha1-checksums.bin",".gradle",".gradle\8.5\checksums","sha1-checksums.bin",".bin","18551","18.116","2026-04-01T16:32:52.3879653Z","2.477","False","True",,,,,
".gradle/8.5/dependencies-accessors/dependencies-accessors.lock",".gradle",".gradle\8.5\dependencies-accessors","dependencies-accessors.lock",".lock","17","0.017","2026-04-03T19:12:38.7011151Z","0.366","False","True",,,,,
".gradle/8.5/dependencies-accessors/executionHistory.bin",".gradle",".gradle\8.5\dependencies-accessors","executionHistory.bin",".bin","26509","25.888","2026-04-03T19:03:01.0872327Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/gc.properties",".gradle",".gradle\8.5\dependencies-accessors","gc.properties",".properties","0","0","2026-04-03T19:02:55.2430000Z","0.372","True","False","0","0","0","0","0"
".gradle/8.5/dependencies-accessors/379b46ef6e42233770a64862b4edd07fde041723/classes/org/gradle/accessors/dm/AppProjectDependency.class",".gradle",".gradle\8.5\dependencies-accessors\379b46ef6e42233770a64862b4edd07fde041723\classes\org\gradle\accessors\dm","AppProjectDependency.class",".class","533","0.521","2026-04-03T19:03:01.0565133Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/379b46ef6e42233770a64862b4edd07fde041723/classes/org/gradle/accessors/dm/ProjectAIProjectDependency.class",".gradle",".gradle\8.5\dependencies-accessors\379b46ef6e42233770a64862b4edd07fde041723\classes\org\gradle\accessors\dm","ProjectAIProjectDependency.class",".class","936","0.914","2026-04-03T19:03:01.0499818Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/379b46ef6e42233770a64862b4edd07fde041723/classes/org/gradle/accessors/dm/RootProjectAccessor.class",".gradle",".gradle\8.5\dependencies-accessors\379b46ef6e42233770a64862b4edd07fde041723\classes\org\gradle\accessors\dm","RootProjectAccessor.class",".class","1267","1.237","2026-04-03T19:03:01.0320401Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/379b46ef6e42233770a64862b4edd07fde041723/sources/org/gradle/accessors/dm/AppProjectDependency.java",".gradle",".gradle\8.5\dependencies-accessors\379b46ef6e42233770a64862b4edd07fde041723\sources\org\gradle\accessors\dm","AppProjectDependency.java",".java","789","0.771","2026-04-03T19:03:00.8831141Z","0.372","True","False","20","16","749","37.45","111"
".gradle/8.5/dependencies-accessors/379b46ef6e42233770a64862b4edd07fde041723/sources/org/gradle/accessors/dm/ProjectAIProjectDependency.java",".gradle",".gradle\8.5\dependencies-accessors\379b46ef6e42233770a64862b4edd07fde041723\sources\org\gradle\accessors\dm","ProjectAIProjectDependency.java",".java","997","0.974","2026-04-03T19:03:00.8846385Z","0.372","True","False","25","20","947","37.88","117"
".gradle/8.5/dependencies-accessors/379b46ef6e42233770a64862b4edd07fde041723/sources/org/gradle/accessors/dm/RootProjectAccessor.java",".gradle",".gradle\8.5\dependencies-accessors\379b46ef6e42233770a64862b4edd07fde041723\sources\org\gradle\accessors\dm","RootProjectAccessor.java",".java","1180","1.152","2026-04-03T19:03:00.8799603Z","0.372","True","False","31","24","1119","36.097","122"
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs.class",".class","7393","7.22","2026-04-03T19:03:00.6480435Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$AndroidBundleAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$AndroidBundleAccessors.class",".class","1170","1.143","2026-04-03T19:03:00.6349001Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$AndroidLibraryAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$AndroidLibraryAccessors.class",".class","908","0.887","2026-04-03T19:03:00.6025898Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$AndroidPluginAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$AndroidPluginAccessors.class",".class","1007","0.983","2026-04-03T19:03:00.6394359Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$AndroidxLibraryAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$AndroidxLibraryAccessors.class",".class","1594","1.557","2026-04-03T19:03:00.6051112Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$AndroidxTestLibraryAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$AndroidxTestLibraryAccessors.class",".class","1017","0.993","2026-04-03T19:03:00.6071111Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$BundleAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$BundleAccessors.class",".class","1557","1.521","2026-04-03T19:03:00.6328928Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$CyclonedxLibraryAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$CyclonedxLibraryAccessors.class",".class","914","0.893","2026-04-03T19:03:00.6103155Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$DokkaLibraryAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$DokkaLibraryAccessors.class",".class","902","0.881","2026-04-03T19:03:00.6113256Z","0.372","False","True",,,,,
".gradle/8.5/dependencies-accessors/d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4/classes/org/gradle/accessors/dm/LibrariesForLibs$HiltLibraryAccessors.class",".gradle",".gradle\8.5\dependencies-accessors\d6287d7c269c1cb34d4414e74f20c8fa4e27c2a4\classes\org\gradle\accessors\dm","LibrariesForLibs$HiltLibraryAccessors.class",".class","899","0.878","2026-04-03T19:03:00.6138306Z","0.372","False","True",,,,,
