"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
".uv-cache/.gitignore",".uv-cache",".uv-cache",".gitignore",".gitignore","1","0.001","2026-04-01T14:00:54.6184232Z","2.582","True","False","1","1","1","1","1"
".uv-cache/CACHEDIR.TAG",".uv-cache",".uv-cache","CACHEDIR.TAG",".tag","43","0.042","2026-04-01T14:00:54.6184232Z","2.582","True","False","1","1","43","43","43"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/__init__.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","__init__.py",".py","59","0.058","2026-04-01T14:02:35.2368375Z","2.581","True","False","3","2","56","18.667","34"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/__main__.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","__main__.py",".py","512","0.5","2026-04-01T14:02:35.2378385Z","2.581","True","False","25","16","487","19.48","64"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/_bdist_wheel.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","_bdist_wheel.py",".py","21729","21.22","2026-04-01T14:02:35.2378385Z","2.581","True","False","616","513","21113","34.274","88"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/_metadata.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","_metadata.py",".py","6188","6.043","2026-04-01T14:02:35.2388387Z","2.581","True","False","184","149","6004","32.63","88"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/_setuptools_logging.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","_setuptools_logging.py",".py","781","0.763","2026-04-01T14:02:35.2398394Z","2.581","True","False","26","21","755","29.038","77"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/bdist_wheel.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","bdist_wheel.py",".py","1102","1.076","2026-04-01T14:02:35.2398394Z","2.581","True","False","26","24","1076","41.385","84"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/macosx_libfile.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","macosx_libfile.py",".py","16712","16.32","2026-04-01T14:02:35.2408404Z","2.581","True","False","486","415","16226","33.387","87"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/metadata.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","metadata.py",".py","757","0.739","2026-04-01T14:02:35.2408404Z","2.581","True","False","17","15","740","43.529","88"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/wheelfile.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel","wheelfile.py",".py","8720","8.516","2026-04-01T14:02:35.2572372Z","2.581","True","False","241","203","8479","35.183","88"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel-0.46.3.dist-info/entry_points.txt",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel-0.46.3.dist-info","entry_points.txt",".txt","110","0.107","2026-04-01T14:02:35.2659178Z","2.581","True","False","6","4","104","17.333","41"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel-0.46.3.dist-info/METADATA",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel-0.46.3.dist-info","METADATA","[no-ext]","2410","2.354","2026-04-01T14:02:35.2714514Z","2.581","True","False","69","55","2340","33.913","87"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel-0.46.3.dist-info/RECORD",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel-0.46.3.dist-info","RECORD","[no-ext]","1497","1.462","2026-04-01T14:02:35.2717862Z","2.581","True","False","19","19","1478","77.789","99"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel-0.46.3.dist-info/WHEEL",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel-0.46.3.dist-info","WHEEL","[no-ext]","82","0.08","2026-04-01T14:02:35.2689334Z","2.581","True","False","4","4","78","19.5","22"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel-0.46.3.dist-info/licenses/LICENSE.txt",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel-0.46.3.dist-info\licenses","LICENSE.txt",".txt","1107","1.081","2026-04-01T14:02:35.2674415Z","2.581","True","False","21","17","1086","51.714","74"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/_commands/__init__.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel\_commands","__init__.py",".py","4432","4.328","2026-04-01T14:02:35.2617230Z","2.581","True","False","153","117","4279","27.967","88"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/_commands/convert.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel\_commands","convert.py",".py","12743","12.444","2026-04-01T14:02:35.2625265Z","2.581","True","False","337","280","12406","36.813","86"
".uv-cache/archive-v0/0u1ZPwy1hw0-fnLIhtNDT/wheel/_commands/pack.py",".uv-cache",".uv-cache\archive-v0\0u1ZPwy1hw0-fnLIhtNDT\wheel\_commands","pack.py",".py","3078","3.006","2026-04-01T14:02:35.2632722Z","2.581","True","False","84","66","2994","35.643","86"
