"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
".uv-python/.gitignore",".uv-python",".uv-python",".gitignore",".gitignore","1","0.001","2026-04-01T14:01:10.7932395Z","2.582","True","False","1","1","1","1","1"
".uv-python/.lock",".uv-python",".uv-python",".lock",".lock","0","0","2026-04-01T14:01:10.7932395Z","2.582","True","False","0","0","0","0","0"
".uv-python/cpython-3.10.19-windows-x86_64-none/BUILD",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","BUILD","[no-ext]","8","0.008","2026-04-01T14:01:19.7366639Z","2.582","True","False","1","1","8","8","8"
".uv-python/cpython-3.10.19-windows-x86_64-none/LICENSE.txt",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","LICENSE.txt",".txt","25066","24.479","2026-04-01T14:01:13.2256131Z","2.582","True","False","502","405","24424","48.653","104"
".uv-python/cpython-3.10.19-windows-x86_64-none/python.exe",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","python.exe",".exe","91648","89.5","2026-04-01T14:01:18.1976074Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/python3.dll",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","python3.dll",".dll","54272","53","2026-04-01T14:01:18.2012948Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/python310.dll",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","python310.dll",".dll","4546048","4439.5","2026-04-01T14:01:18.2658658Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/pythonw.exe",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","pythonw.exe",".exe","90112","88","2026-04-01T14:01:18.2753033Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/vcruntime140_1.dll",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","vcruntime140_1.dll",".dll","49792","48.625","2026-04-01T14:01:19.7205269Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/vcruntime140_threads.dll",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","vcruntime140_threads.dll",".dll","17920","17.5","2026-04-01T14:01:19.7235273Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/vcruntime140.dll",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none","vcruntime140.dll",".dll","124544","121.625","2026-04-01T14:01:19.7195159Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_asyncio.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_asyncio.pyd",".pyd","54272","53","2026-04-01T14:01:11.4661705Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_bz2.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_bz2.pyd",".pyd","72704","71","2026-04-01T14:01:11.4976250Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_ctypes_test.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_ctypes_test.pyd",".pyd","24064","23.5","2026-04-01T14:01:11.5347719Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_ctypes.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_ctypes.pyd",".pyd","118784","116","2026-04-01T14:01:11.5347719Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_decimal.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_decimal.pyd",".pyd","242688","237","2026-04-01T14:01:11.5716128Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_elementtree.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_elementtree.pyd",".pyd","117248","114.5","2026-04-01T14:01:11.5858250Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_hashlib.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_hashlib.pyd",".pyd","51200","50","2026-04-01T14:01:11.5914110Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_lzma.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_lzma.pyd",".pyd","151040","147.5","2026-04-01T14:01:11.7063444Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_msi.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_msi.pyd",".pyd","33280","32.5","2026-04-01T14:01:11.7326501Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_multiprocessing.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_multiprocessing.pyd",".pyd","22528","22","2026-04-01T14:01:11.7346673Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_overlapped.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_overlapped.pyd",".pyd","37888","37","2026-04-01T14:01:11.7346673Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_queue.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_queue.pyd",".pyd","20480","20","2026-04-01T14:01:11.7834172Z","2.582","False","True",,,,,
".uv-python/cpython-3.10.19-windows-x86_64-none/DLLs/_socket.pyd",".uv-python",".uv-python\cpython-3.10.19-windows-x86_64-none\DLLs","_socket.pyd",".pyd","67584","66","2026-04-01T14:01:11.8104797Z","2.582","False","True",,,,,
