"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
".bandit","[repo-root]",".",".bandit",".bandit","594","0.58","2026-03-29T00:58:25.3715632Z","6.125","True","False","26","23","542","20.846","57"
".dockerignore","[repo-root]",".",".dockerignore",".dockerignore","465","0.454","2026-04-03T19:11:28.1095289Z","0.366","True","False","52","44","361","6.942","17"
".env","[repo-root]",".",".env",".env","1680","1.641","2026-03-29T14:08:14.5845197Z","5.577","True","False","56","44","1594","28.464","101"
".env.example","[repo-root]",".",".env.example",".example","1938","1.893","2026-04-03T19:11:28.1100491Z","0.366","True","False","65","53","1808","27.815","62"
".eslintrc.js","[repo-root]",".",".eslintrc.js",".js","757","0.739","2026-04-01T15:27:59.2335873Z","2.522","True","False","31","31","695","22.419","64"
".eslintrc.json","[repo-root]",".",".eslintrc.json",".json","892","0.871","2026-03-29T00:58:25.3765658Z","6.125","True","False","42","42","808","19.238","94"
".gitattributes","[repo-root]",".",".gitattributes",".gitattributes","3995","3.901","2026-04-03T19:11:28.1118590Z","0.366","True","False","67","56","2665","39.776","66"
".gitignore","[repo-root]",".",".gitignore",".gitignore","3222","3.146","2026-04-04T03:01:58.3922174Z","0.04","True","False","211","178","2796","13.251","79"
".gitmodules","[repo-root]",".",".gitmodules",".gitmodules","912","0.891","2026-04-03T19:11:28.1153920Z","0.366","True","False","22","21","868","39.455","62"
".gitmodules.local_backup","[repo-root]",".",".gitmodules.local_backup",".local_backup","7172","7.004","2026-04-04T02:51:55.4738593Z","0.047","True","False","175","132","6822","38.983","77"
".markdownlint.yaml","[repo-root]",".",".markdownlint.yaml",".yaml","40","0.039","2026-03-29T00:58:25.4311493Z","6.125","True","False","3","3","36","12","12"
".pre-commit-config.yaml","[repo-root]",".",".pre-commit-config.yaml",".yaml","1017","0.993","2026-03-29T00:58:25.4311493Z","6.125","True","False","37","33","943","25.486","63"
".prettierrc","[repo-root]",".",".prettierrc",".prettierrc","184","0.18","2026-03-29T00:58:25.4311493Z","6.125","True","False","10","10","164","16.4","26"
".python-version","[repo-root]",".",".python-version",".python-version","4","0.004","2026-03-29T00:58:25.4321492Z","6.125","True","False","1","1","4","4","4"
"activate_transcendence.py","[repo-root]",".","activate_transcendence.py",".py","1644","1.605","2026-04-04T02:51:55.4898564Z","0.047","True","False","41","30","1562","38.098","83"
"ARCHITECT_MANIFEST.md","[repo-root]",".","ARCHITECT_MANIFEST.md",".md","2449","2.392","2026-04-04T02:51:55.4738593Z","0.047","True","False","40","33","2369","59.225","216"
"bayesian_proof_demo.py","[repo-root]",".","bayesian_proof_demo.py",".py","4598","4.49","2026-04-04T02:51:55.4904785Z","0.047","True","False","118","91","4350","36.864","106"
"boot_sovereign.py","[repo-root]",".","boot_sovereign.py",".py","6206","6.061","2026-04-04T03:01:58.6638147Z","0.04","True","False","171","144","5846","34.187","92"
"build_orchestrator.py","[repo-root]",".","build_orchestrator.py",".py","4044","3.949","2026-04-04T03:01:58.6648058Z","0.04","True","False","120","97","3790","31.583","84"
"build-installer.ps1","[repo-root]",".","build-installer.ps1",".ps1","3182","3.107","2026-04-03T19:11:28.1358945Z","0.366","True","False","87","72","3004","34.529","157"
"build.gradle.kts","[repo-root]",".","build.gradle.kts",".kts","70007","68.366","2026-04-03T19:11:28.1364023Z","0.366","True","False","1734","1364","54543","31.455","116"
"CHANGELOG.md","[repo-root]",".","CHANGELOG.md",".md","1759","1.718","2026-04-01T15:27:59.4128567Z","2.522","True","False","44","28","1655","37.614","168"
"CODE_OF_CONDUCT.md","[repo-root]",".","CODE_OF_CONDUCT.md",".md","4898","4.783","2026-04-01T15:27:59.4148271Z","2.522","True","False","40","30","4770","119.25","667"
"CODEOWNERS","[repo-root]",".","CODEOWNERS","[no-ext]","1857","1.813","2026-04-03T19:11:28.1176485Z","0.366","True","False","60","47","1737","28.95","140"
"COMPLETION_MANIFEST.md","[repo-root]",".","COMPLETION_MANIFEST.md",".md","4329","4.228","2026-04-04T02:51:55.4738593Z","0.047","True","False","76","54","4159","54.724","305"
"compliance_manifest.json","[repo-root]",".","compliance_manifest.json",".json","1004","0.98","2026-04-04T02:51:55.4949609Z","0.047","True","False","27","26","952","35.259","80"
"COMPONENT_MAP.md","[repo-root]",".","COMPONENT_MAP.md",".md","1531","1.495","2026-04-04T02:51:55.4738593Z","0.047","True","False","32","25","1467","45.844","111"
"COMPREHENSIVE_FILE_MANIFEST.csv","[repo-root]",".","COMPREHENSIVE_FILE_MANIFEST.csv",".csv","0","0","2026-04-04T03:47:15.2683707Z","0.008","True","False","88720","88720","9481839","106.874","215"
"COMPREHENSIVE_FILE_MANIFEST.md","[repo-root]",".","COMPREHENSIVE_FILE_MANIFEST.md",".md","693","0.677","2026-04-04T03:46:28.4904346Z","0.009","True","False","31","22","631","20.355","82"
"CONTRIBUTING.md","[repo-root]",".","CONTRIBUTING.md",".md","24615","24.038","2026-04-04T03:01:58.3942172Z","0.04","True","False","662","439","23161","34.986","303"
"debug_torch.py","[repo-root]",".","debug_torch.py",".py","728","0.711","2026-04-04T02:51:55.4975914Z","0.047","True","False","19","17","690","36.316","80"
"DEVELOPER_QUICK_REFERENCE.md","[repo-root]",".","DEVELOPER_QUICK_REFERENCE.md",".md","908","0.887","2026-04-01T15:27:59.4236182Z","2.522","True","False","38","25","829","21.816","108"
"DIRECTORY_INDEX.md","[repo-root]",".","DIRECTORY_INDEX.md",".md","8620","8.418","2026-04-01T15:27:59.4258072Z","2.522","True","False","158","118","8248","52.203","169"
"docker-compose.monitoring.yml","[repo-root]",".","docker-compose.monitoring.yml",".yml","1486","1.451","2026-03-29T00:58:42.5229876Z","6.125","True","False","51","47","1384","27.137","73"
"docker-compose.override.yml","[repo-root]",".","docker-compose.override.yml",".yml","1081","1.056","2026-03-31T23:34:12.8538991Z","3.184","True","False","39","36","1003","25.718","95"
"docker-compose.yml","[repo-root]",".","docker-compose.yml",".yml","5851","5.714","2026-03-31T23:34:12.8549003Z","3.184","True","False","234","215","5383","23.004","73"
"Dockerfile","[repo-root]",".","Dockerfile","[no-ext]","1450","1.416","2026-04-03T19:11:28.1191551Z","0.366","True","False","57","41","1336","23.439","104"
"Dockerfile.sovereign","[repo-root]",".","Dockerfile.sovereign",".sovereign","944","0.922","2026-04-03T19:11:28.1201612Z","0.366","True","False","36","28","872","24.222","81"
"Dockerfile.test","[repo-root]",".","Dockerfile.test",".test","527","0.515","2026-04-04T03:01:58.3962168Z","0.04","True","False","17","12","493","29","97"
"entrypoint.sh","[repo-root]",".","entrypoint.sh",".sh","502","0.49","2026-04-04T03:01:58.6679133Z","0.04","True","False","16","12","470","29.375","78"
"full_file_list.txt","[repo-root]",".","full_file_list.txt",".txt","1363266","1331.314","2026-04-04T02:51:55.5086240Z","0.047","True","False","9830","9830","1343570","136.681","266"
"FULL_REPOSITORY_MANIFEST.md","[repo-root]",".","FULL_REPOSITORY_MANIFEST.md",".md","12677287","12380.163","2026-04-04T03:01:58.4362157Z","0.04","True","False","84145","83809","12508997","148.66","279"
"gradle.properties","[repo-root]",".","gradle.properties",".properties","5725","5.591","2026-03-29T00:58:42.7511567Z","6.125","True","False","91","67","3143","34.538","103"
"gradlew","[repo-root]",".","gradlew","[no-ext]","8814","8.607","2026-03-29T00:58:42.7551566Z","6.125","True","False","248","220","8295","33.448","141"
"gradlew.bat","[repo-root]",".","gradlew.bat",".bat","2838","2.771","2026-03-29T00:58:42.7556683Z","6.125","True","False","91","70","2656","29.187","161"
"IDE_README.md","[repo-root]",".","IDE_README.md",".md","763","0.745","2026-04-04T03:01:58.4372189Z","0.04","True","False","33","29","697","21.121","78"
