"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"android/build.gradle","android","android","build.gradle",".gradle","570","0.557","2026-03-29T00:58:42.4397885Z","6.125","True","False","26","24","518","19.923","78"
"android/gradle.properties","android","android","gradle.properties",".properties","169","0.165","2026-03-29T00:58:42.4397885Z","6.125","True","False","5","5","159","31.8","50"
"android/local.properties.example","android","android","local.properties.example",".example","393","0.384","2026-03-29T00:58:42.4467932Z","6.125","True","False","11","8","371","33.727","78"
"android/README.md","android","android","README.md",".md","2440","2.383","2026-04-03T19:11:28.1282761Z","0.366","True","False","104","72","2224","21.385","175"
"android/settings.gradle","android","android","settings.gradle",".gradle","73","0.071","2026-03-29T00:58:42.4477935Z","6.125","True","False","3","3","67","22.333","31"
"android/.gradle/file-system.probe","android","android\.gradle","file-system.probe",".probe","8","0.008","2026-04-02T16:30:24.1443596Z","1.478","False","True",,,,,
"android/.gradle/8.2/gc.properties","android","android\.gradle\8.2","gc.properties",".properties","0","0","2026-04-03T19:04:02.3540000Z","0.372","True","False","0","0","0","0","0"
"android/.gradle/8.2/checksums/checksums.lock","android","android\.gradle\8.2\checksums","checksums.lock",".lock","17","0.017","2026-04-03T19:11:36.7607413Z","0.366","False","True",,,,,
"android/.gradle/8.2/checksums/md5-checksums.bin","android","android\.gradle\8.2\checksums","md5-checksums.bin",".bin","18597","18.161","2026-04-01T23:34:01.8524080Z","2.184","False","True",,,,,
"android/.gradle/8.2/checksums/sha1-checksums.bin","android","android\.gradle\8.2\checksums","sha1-checksums.bin",".bin","28379","27.714","2026-04-01T23:34:32.8292144Z","2.184","False","True",,,,,
"android/.gradle/8.2/dependencies-accessors/dependencies-accessors.lock","android","android\.gradle\8.2\dependencies-accessors","dependencies-accessors.lock",".lock","17","0.017","2026-04-03T19:11:36.7622898Z","0.366","False","True",,,,,
"android/.gradle/8.2/dependencies-accessors/gc.properties","android","android\.gradle\8.2\dependencies-accessors","gc.properties",".properties","0","0","2026-04-03T19:04:02.3370000Z","0.372","True","False","0","0","0","0","0"
"android/.gradle/8.2/executionHistory/executionHistory.bin","android","android\.gradle\8.2\executionHistory","executionHistory.bin",".bin","19111","18.663","2026-04-01T23:33:58.3070468Z","2.184","False","True",,,,,
"android/.gradle/8.2/executionHistory/executionHistory.lock","android","android\.gradle\8.2\executionHistory","executionHistory.lock",".lock","17","0.017","2026-04-02T16:30:32.5935211Z","1.478","False","True",,,,,
"android/.gradle/8.2/fileChanges/last-build.bin","android","android\.gradle\8.2\fileChanges","last-build.bin",".bin","1","0.001","2026-04-03T19:11:36.7521714Z","0.366","False","True",,,,,
"android/.gradle/8.2/fileHashes/fileHashes.bin","android","android\.gradle\8.2\fileHashes","fileHashes.bin",".bin","18547","18.112","2026-04-01T23:34:37.4888038Z","2.184","False","True",,,,,
"android/.gradle/8.2/fileHashes/fileHashes.lock","android","android\.gradle\8.2\fileHashes","fileHashes.lock",".lock","17","0.017","2026-04-03T19:11:36.7616211Z","0.366","False","True",,,,,
"android/.gradle/8.5/gc.properties","android","android\.gradle\8.5","gc.properties",".properties","0","0","2026-04-01T20:00:29.9093291Z","2.332","True","False","0","0","0","0","0"
"android/.gradle/8.5/checksums/checksums.lock","android","android\.gradle\8.5\checksums","checksums.lock",".lock","17","0.017","2026-04-01T20:00:29.8911183Z","2.332","False","True",,,,,
"android/.gradle/8.5/dependencies-accessors/dependencies-accessors.lock","android","android\.gradle\8.5\dependencies-accessors","dependencies-accessors.lock",".lock","17","0.017","2026-04-01T20:00:29.8937642Z","2.332","False","True",,,,,
"android/.gradle/8.5/dependencies-accessors/gc.properties","android","android\.gradle\8.5\dependencies-accessors","gc.properties",".properties","0","0","2026-04-01T20:00:29.8952739Z","2.332","True","False","0","0","0","0","0"
"android/.gradle/8.5/executionHistory/executionHistory.lock","android","android\.gradle\8.5\executionHistory","executionHistory.lock",".lock","17","0.017","2026-04-01T20:00:30.1513368Z","2.332","False","True",,,,,
"android/.gradle/8.5/fileChanges/last-build.bin","android","android\.gradle\8.5\fileChanges","last-build.bin",".bin","1","0.001","2026-04-01T20:00:30.1487441Z","2.332","False","True",,,,,
