"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"archive/build-wrapper.ps1","archive","archive","build-wrapper.ps1",".ps1","7555","7.378","2026-03-29T00:58:48.3582010Z","6.125","True","False","213","189","5841","27.423","77"
"archive/build-wrapper.sh","archive","archive","build-wrapper.sh",".sh","7036","6.871","2026-03-29T00:58:48.3582010Z","6.125","True","False","197","171","5354","27.178","77"
"archive/CHANGELOG.md","archive","archive","CHANGELOG.md",".md","49951","48.78","2026-03-29T00:58:48.2946045Z","6.125","True","False","922","697","47441","51.454","673"
"archive/check_sig.py","archive","archive","check_sig.py",".py","93","0.091","2026-03-29T00:58:48.3592132Z","6.125","True","False","4","3","85","21.25","45"
"archive/PROJECT_STATUS.md","archive","archive","PROJECT_STATUS.md",".md","17923","17.503","2026-03-29T00:58:48.2956038Z","6.125","True","False","532","366","16551","31.111","229"
"archive/PROJECT_STRUCTURE.md","archive","archive","PROJECT_STRUCTURE.md",".md","7522","7.346","2026-03-29T00:58:48.2966041Z","6.125","True","False","180","141","6227","34.594","100"
"archive/repo_structure.txt","archive","archive","repo_structure.txt",".txt","0","0","2026-03-29T00:58:48.5227821Z","6.125","True","False","0","0","0","0","0"
"archive/setup.py","archive","archive","setup.py",".py","532","0.52","2026-03-29T00:58:48.5237824Z","6.125","True","False","20","17","492","24.6","75"
"archive/train_error_v2.log","archive","archive","train_error_v2.log",".log","3144","3.07","2026-03-29T00:58:48.5499220Z","6.125","False","True",,,,,
"archive/train_error.log","archive","archive","train_error.log",".log","3128","3.055","2026-03-29T00:58:48.5499220Z","6.125","False","True",,,,,
"archive/train_v3.log","archive","archive","train_v3.log",".log","3142","3.068","2026-03-29T00:58:48.5509235Z","6.125","False","True",,,,,
"archive/train_v4.log","archive","archive","train_v4.log",".log","3108","3.035","2026-03-29T00:58:48.5509235Z","6.125","False","True",,,,,
"archive/train_v5.log","archive","archive","train_v5.log",".log","2782","2.717","2026-03-29T00:58:48.5519217Z","6.125","False","True",,,,,
"archive/.github/CONTRIBUTING_DOCS.md","archive","archive\.github","CONTRIBUTING_DOCS.md",".md","7649","7.47","2026-03-29T00:58:48.2916043Z","6.125","True","False","300","189","6945","23.15","131"
"archive/.github/copilot-instructions.md","archive","archive\.github","copilot-instructions.md",".md","18694","18.256","2026-03-29T00:58:48.2936036Z","6.125","True","False","525","363","17438","33.215","294"
"archive/.github/security-waivers.yml","archive","archive\.github","security-waivers.yml",".yml","3317","3.239","2026-03-29T00:58:48.2936036Z","6.125","True","False","91","79","3135","34.451","83"
