"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"cognition/__init__.py","cognition","cognition","__init__.py",".py","309","0.302","2026-04-01T15:28:00.7249975Z","2.522","True","False","8","7","293","36.625","63"
"cognition/audit_export.py","cognition","cognition","audit_export.py",".py","270","0.264","2026-04-01T15:28:00.7275206Z","2.522","True","False","5","5","260","52","80"
"cognition/audit.py","cognition","cognition","audit.py",".py","382","0.373","2026-04-01T15:28:00.7265230Z","2.522","True","False","10","7","362","36.2","74"
"cognition/boundary.py","cognition","cognition","boundary.py",".py","513","0.501","2026-04-01T15:28:00.7285190Z","2.522","True","False","17","13","479","28.176","63"
"cognition/health.py","cognition","cognition","health.py",".py","423","0.413","2026-04-01T15:28:00.7305174Z","2.522","True","False","15","12","393","26.2","79"
"cognition/hydra_guard.py","cognition","cognition","hydra_guard.py",".py","377","0.368","2026-04-01T15:28:00.7311630Z","2.522","True","False","9","7","359","39.889","63"
"cognition/invariants.py","cognition","cognition","invariants.py",".py","686","0.67","2026-04-01T15:28:00.7321747Z","2.522","True","False","22","14","642","29.182","79"
"cognition/kernel_liara.py","cognition","cognition","kernel_liara.py",".py","1308","1.277","2026-04-01T15:28:00.7337621Z","2.522","True","False","48","36","1212","25.25","88"
"cognition/liara_guard.py","cognition","cognition","liara_guard.py",".py","963","0.94","2026-04-01T15:28:00.7414085Z","2.522","True","False","41","27","881","21.488","73"
"cognition/README.md","cognition","cognition","README.md",".md","2945","2.876","2026-04-01T15:28:00.7234881Z","2.522","True","False","66","49","2759","41.803","211"
"cognition/tarl_bridge.py","cognition","cognition","tarl_bridge.py",".py","1325","1.294","2026-04-01T15:28:00.7430188Z","2.522","True","False","35","29","1255","35.857","86"
"cognition/triumvirate.py","cognition","cognition","triumvirate.py",".py","970","0.947","2026-04-01T15:28:00.7450291Z","2.522","True","False","27","21","916","33.926","71"
"cognition/triumvirate.thirsty","cognition","cognition","triumvirate.thirsty",".thirsty","1994","1.947","2026-04-01T15:28:00.7467217Z","2.522","True","False","59","50","1876","31.797","80"
"cognition/violations.py","cognition","cognition","violations.py",".py","286","0.279","2026-04-01T15:28:00.7484054Z","2.522","True","False","7","5","272","38.857","66"
"cognition/liara/__init__.py","cognition","cognition\liara","__init__.py",".py","510","0.498","2026-04-01T15:28:00.7362843Z","2.522","True","False","13","10","484","37.231","75"
"cognition/liara/agency.py","cognition","cognition\liara","agency.py",".py","8017","7.829","2026-04-03T19:11:28.1404495Z","0.366","True","False","237","194","7543","31.827","86"
"cognition/liara/cli.py","cognition","cognition\liara","cli.py",".py","6204","6.059","2026-04-03T19:11:28.1414488Z","0.366","True","False","197","148","5806","29.472","87"
"cognition/liara/worker.py","cognition","cognition\liara","worker.py",".py","2978","2.908","2026-04-01T15:28:00.7404133Z","2.522","True","False","104","80","2770","26.635","72"
