"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"desktop/.env.example","desktop","desktop",".env.example",".example","211","0.206","2026-04-03T19:11:28.1577197Z","0.366","True","False","9","7","193","21.444","48"
"desktop/.eslintrc.json","desktop","desktop",".eslintrc.json",".json","699","0.683","2026-03-29T00:58:42.4884278Z","6.125","True","False","34","34","631","18.559","62"
"desktop/.gitignore","desktop","desktop",".gitignore",".gitignore","400","0.391","2026-04-04T02:51:55.4975914Z","0.047","True","False","43","35","314","7.302","20"
"desktop/CHANGELOG.md","desktop","desktop","CHANGELOG.md",".md","2145","2.095","2026-04-01T15:28:01.0902723Z","2.522","True","False","61","49","2023","33.164","90"
"desktop/electron-builder.json","desktop","desktop","electron-builder.json",".json","1371","1.339","2026-03-29T00:58:42.4917684Z","6.125","True","False","60","60","1251","20.85","62"
"desktop/index.html","desktop","desktop","index.html",".html","822","0.803","2026-03-29T00:58:42.4974106Z","6.125","True","False","33","31","756","22.909","96"
"desktop/LICENSE","desktop","desktop","LICENSE","[no-ext]","1093","1.067","2026-03-29T00:58:42.4904278Z","6.125","True","False","21","17","1051","50.048","78"
"desktop/package-lock.json","desktop","desktop","package-lock.json",".json","253897","247.946","2026-04-04T02:51:55.4975914Z","0.047","True","False","6952","6952","239993","34.521","266"
"desktop/package.json","desktop","desktop","package.json",".json","1817","1.774","2026-04-01T15:28:01.1190137Z","2.522","True","False","71","71","1675","23.592","73"
"desktop/README.md","desktop","desktop","README.md",".md","3962","3.869","2026-04-03T19:11:28.1587571Z","0.366","True","False","195","136","3384","17.354","128"
"desktop/RESOURCES.md","desktop","desktop","RESOURCES.md",".md","5799","5.663","2026-04-03T19:11:28.1597665Z","0.366","True","False","276","197","4891","17.721","94"
"desktop/setup.js","desktop","desktop","setup.js",".js","2600","2.539","2026-04-03T19:11:28.1623632Z","0.366","True","False","82","69","2406","29.341","96"
"desktop/tsconfig.json","desktop","desktop","tsconfig.json",".json","566","0.553","2026-03-29T00:58:42.5219879Z","6.125","True","False","27","27","512","18.963","45"
"desktop/vite.config.ts","desktop","desktop","vite.config.ts",".ts","499","0.487","2026-03-29T00:58:42.5219879Z","6.125","True","False","22","21","455","20.682","64"
"desktop/electron/main.ts","desktop","desktop\electron","main.ts",".ts","2617","2.556","2026-04-03T19:11:28.1613640Z","0.366","True","False","101","85","2415","23.911","285"
"desktop/electron/preload.ts","desktop","desktop\electron","preload.ts",".ts","671","0.655","2026-04-01T15:28:01.1180116Z","2.522","True","False","18","17","635","35.278","81"
"desktop/src/App.tsx","desktop","desktop\src","App.tsx",".tsx","1261","1.231","2026-04-01T15:28:01.1250442Z","2.522","True","False","42","40","1177","28.024","80"
"desktop/src/main.tsx","desktop","desktop\src","main.tsx",".tsx","1450","1.416","2026-04-01T15:28:01.1378342Z","2.522","True","False","64","62","1322","20.656","89"
"desktop/src/api/governance.ts","desktop","desktop\src\api","governance.ts",".ts","2100","2.051","2026-04-03T19:11:28.1633641Z","0.366","True","False","92","76","1916","20.826","75"
"desktop/src/components/ErrorMessage.tsx","desktop","desktop\src\components","ErrorMessage.tsx",".tsx","799","0.78","2026-03-29T00:58:42.5034104Z","6.125","True","False","39","36","721","18.487","63"
"desktop/src/components/LoadingSpinner.tsx","desktop","desktop\src\components","LoadingSpinner.tsx",".tsx","722","0.705","2026-03-29T00:58:42.5054108Z","6.125","True","False","32","29","658","20.562","66"
"desktop/src/components/Sidebar.tsx","desktop","desktop\src\components","Sidebar.tsx",".tsx","1696","1.656","2026-03-29T00:58:42.5074105Z","6.125","True","False","56","52","1584","28.286","86"
"desktop/src/components/TitleBar.tsx","desktop","desktop\src\components","TitleBar.tsx",".tsx","1601","1.563","2026-04-01T15:28:01.1285647Z","2.522","True","False","55","50","1491","27.109","82"
"desktop/src/components/VerdictBadge.tsx","desktop","desktop\src\components","VerdictBadge.tsx",".tsx","879","0.858","2026-03-29T00:58:42.5084106Z","6.125","True","False","36","31","807","22.417","84"
"desktop/src/config/constants.ts","desktop","desktop\src\config","constants.ts",".ts","1471","1.437","2026-04-03T19:11:28.1648806Z","0.366","True","False","65","55","1341","20.631","89"
"desktop/src/hooks/useGovernanceApi.ts","desktop","desktop\src\hooks","useGovernanceApi.ts",".ts","2687","2.624","2026-03-29T00:58:42.5139876Z","6.125","True","False","100","85","2487","24.87","95"
"desktop/src/pages/Audit.tsx","desktop","desktop\src\pages","Audit.tsx",".tsx","3411","3.331","2026-03-29T00:58:42.5149870Z","6.125","True","False","116","106","3179","27.405","94"
"desktop/src/pages/Dashboard.tsx","desktop","desktop\src\pages","Dashboard.tsx",".tsx","6314","6.166","2026-03-29T00:58:42.5159877Z","6.125","True","False","197","184","5920","30.051","86"
"desktop/src/pages/Intent.tsx","desktop","desktop\src\pages","Intent.tsx",".tsx","6643","6.487","2026-03-29T00:58:42.5169874Z","6.125","True","False","213","192","6217","29.188","99"
"desktop/src/pages/Tarl.tsx","desktop","desktop\src\pages","Tarl.tsx",".tsx","3912","3.82","2026-03-29T00:58:42.5179899Z","6.125","True","False","133","121","3646","27.414","92"
"desktop/src/styles/sovereign_tokens.css","desktop","desktop\src\styles","sovereign_tokens.css",".css","1615","1.577","2026-04-01T15:28:01.1398507Z","2.522","True","False","61","50","1495","24.508","105"
"desktop/src/types/electron.d.ts","desktop","desktop\src\types","electron.d.ts",".ts","560","0.547","2026-04-01T15:28:01.1413723Z","2.522","True","False","22","21","516","23.455","64"
"desktop/src/utils/formatters.ts","desktop","desktop\src\utils","formatters.ts",".ts","1517","1.481","2026-03-29T00:58:42.5209873Z","6.125","True","False","48","42","1421","29.604","75"
