"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"docs/ASYMMETRIC_SECURITY_FRAMEWORK.md","docs","docs","ASYMMETRIC_SECURITY_FRAMEWORK.md",".md","12249","11.962","2026-04-01T15:28:01.1443834Z","2.522","True","False","413","264","11387","27.571","172"
"docs/ATTACK_SIMULATION_SUITE.md","docs","docs","ATTACK_SIMULATION_SUITE.md",".md","17700","17.285","2026-04-01T15:28:01.1463836Z","2.522","True","False","638","424","16358","25.639","211"
"docs/AUDIT_LOGGING.md","docs","docs","AUDIT_LOGGING.md",".md","16464","16.078","2026-04-01T15:28:01.1539129Z","2.522","True","False","679","455","15042","22.153","266"
"docs/BIO_BRAIN_MAPPING_PROTOCOL.md","docs","docs","BIO_BRAIN_MAPPING_PROTOCOL.md",".md","1134","1.107","2026-04-01T15:28:01.1566111Z","2.522","True","False","26","17","1082","41.615","257"
"docs/CATHEDRAL_INTEGRATION_GUIDE.md","docs","docs","CATHEDRAL_INTEGRATION_GUIDE.md",".md","21961","21.446","2026-04-01T15:28:01.1586122Z","2.522","True","False","869","562","20133","23.168","138"
"docs/CITATIONS.md","docs","docs","CITATIONS.md",".md","1707","1.667","2026-04-01T15:28:01.1596112Z","2.522","True","False","18","14","1671","92.833","249"
"docs/CONSTITUTION_COMPLETE.md","docs","docs","CONSTITUTION_COMPLETE.md",".md","19558","19.1","2026-04-01T15:28:01.1716386Z","2.522","True","False","555","382","18401","33.155","274"
"docs/CONSTITUTIONAL_AUDIT.md","docs","docs","CONSTITUTIONAL_AUDIT.md",".md","25246","24.654","2026-04-01T15:28:01.1681312Z","2.522","True","False","734","484","23088","31.455","377"
"docs/DEPLOYABLE_SYSTEM_STANDARD.md","docs","docs","DEPLOYABLE_SYSTEM_STANDARD.md",".md","22181","21.661","2026-04-01T15:28:01.1736495Z","2.522","True","False","702","494","20583","29.321","124"
"docs/FAILURE_MODELS_OPERATIONS.md","docs","docs","FAILURE_MODELS_OPERATIONS.md",".md","20034","19.564","2026-04-01T15:28:01.1761704Z","2.522","True","False","765","525","18164","23.744","153"
"docs/GOD_TIER_CROSS_TIER_PERFORMANCE_MONITORING.md","docs","docs","GOD_TIER_CROSS_TIER_PERFORMANCE_MONITORING.md",".md","18010","17.588","2026-04-01T15:28:01.1801694Z","2.522","True","False","581","399","16042","27.611","297"
"docs/ICON_DESIGN_SPEC.md","docs","docs","ICON_DESIGN_SPEC.md",".md","7178","7.01","2026-04-01T15:28:01.1850162Z","2.522","True","False","273","187","6450","23.626","168"
"docs/INFRASTRUCTURE_ROADMAP.md","docs","docs","INFRASTRUCTURE_ROADMAP.md",".md","12372","12.082","2026-04-01T15:28:01.1880163Z","2.522","True","False","426","337","11486","26.962","145"
"docs/INTEGRATION_GUIDE.md","docs","docs","INTEGRATION_GUIDE.md",".md","11928","11.648","2026-04-01T15:28:01.1915350Z","2.522","True","False","508","345","10904","21.465","171"
"docs/Main_Page.md","docs","docs","Main_Page.md",".md","5147","5.026","2026-04-01T15:28:01.2041059Z","2.522","True","False","140","94","4849","34.636","175"
"docs/MINIATURE_OFFICE_SPEC.md","docs","docs","MINIATURE_OFFICE_SPEC.md",".md","1058","1.033","2026-04-01T15:28:01.2000558Z","2.522","True","False","26","17","1006","38.692","293"
"docs/OMEGA_DOCTRINE.md","docs","docs","OMEGA_DOCTRINE.md",".md","1532","1.496","2026-04-01T15:28:01.2061059Z","2.522","True","False","29","19","1474","50.828","132"
"docs/PLATFORM_TIERS.md","docs","docs","PLATFORM_TIERS.md",".md","20852","20.363","2026-04-01T15:28:01.2091114Z","2.522","True","False","738","517","18398","24.93","130"
"docs/PORTABLE_APP_GUIDE.md","docs","docs","PORTABLE_APP_GUIDE.md",".md","7612","7.434","2026-04-01T15:28:01.2141470Z","2.522","True","False","293","199","6872","23.454","195"
"docs/PRODUCTION_ARCHITECTURE.md","docs","docs","PRODUCTION_ARCHITECTURE.md",".md","15713","15.345","2026-04-01T15:28:01.2161593Z","2.522","True","False","446","345","12111","27.155","200"
"docs/README.md","docs","docs","README.md",".md","5411","5.284","2026-04-01T15:28:01.2201583Z","2.522","True","False","99","80","5209","52.616","154"
"docs/REPOSITORY_CONFIGURATION_GUIDE.md","docs","docs","REPOSITORY_CONFIGURATION_GUIDE.md",".md","7218","7.049","2026-04-01T15:28:01.2221582Z","2.522","True","False","258","167","6614","25.636","283"
"docs/REPOSITORY_HARDENING.md","docs","docs","REPOSITORY_HARDENING.md",".md","10818","10.564","2026-04-01T15:28:01.2231594Z","2.522","True","False","302","204","10126","33.53","286"
"docs/roadmap_dashboard.html","docs","docs","roadmap_dashboard.html",".html","15139","14.784","2026-03-29T00:58:25.8452266Z","6.125","True","False","389","339","14351","36.892","166"
"docs/SECURITY_ADVANTAGE_DEMO.md","docs","docs","SECURITY_ADVANTAGE_DEMO.md",".md","13845","13.521","2026-04-01T15:28:01.2290771Z","2.522","True","False","468","311","12875","27.511","195"
"docs/SECURITY_IMPLEMENTATION_GUIDE.md","docs","docs","SECURITY_IMPLEMENTATION_GUIDE.md",".md","25122","24.533","2026-04-01T15:28:01.2325859Z","2.522","True","False","805","562","19856","24.666","193"
"docs/SECURITY_IMPLEMENTATION_SUMMARY.md","docs","docs","SECURITY_IMPLEMENTATION_SUMMARY.md",".md","20709","20.224","2026-04-01T15:28:01.2351224Z","2.522","True","False","539","385","17631","32.711","350"
"docs/SHADOW_THIRST_DOCTRINE.md","docs","docs","SHADOW_THIRST_DOCTRINE.md",".md","1227","1.198","2026-04-01T15:28:01.2366318Z","2.522","True","False","26","17","1175","45.192","269"
"docs/SLO_ERROR_BUDGETS.md","docs","docs","SLO_ERROR_BUDGETS.md",".md","17544","17.133","2026-04-01T15:28:01.2411506Z","2.522","True","False","670","452","15491","23.121","86"
"docs/SOVEREIGN_CICD_IMPLEMENTATION.md","docs","docs","SOVEREIGN_CICD_IMPLEMENTATION.md",".md","17388","16.98","2026-04-01T15:28:01.2451777Z","2.522","True","False","539","350","16158","29.978","192"
"docs/SOVEREIGN_CICD_QUICK_REF.md","docs","docs","SOVEREIGN_CICD_QUICK_REF.md",".md","6318","6.17","2026-04-01T15:28:01.2466859Z","2.522","True","False","248","175","5714","23.04","93"
"docs/SOVEREIGN_STATUS_DASHBOARD.md","docs","docs","SOVEREIGN_STATUS_DASHBOARD.md",".md","3233","3.157","2026-04-01T15:28:01.2476963Z","2.522","True","False","101","76","3017","29.871","144"
"docs/standard_status.json","docs","docs","standard_status.json",".json","925","0.903","2026-03-29T00:58:25.8724948Z","6.125","True","False","39","39","849","21.769","45"
"docs/SUPPLY_CHAIN_SECURITY.md","docs","docs","SUPPLY_CHAIN_SECURITY.md",".md","19766","19.303","2026-04-01T15:28:01.2516987Z","2.522","True","False","500","338","16502","33.004","167"
"docs/TAMS_OMEGA_META_CONSTITUTIONAL_FRAMEWORK.md","docs","docs","TAMS_OMEGA_META_CONSTITUTIONAL_FRAMEWORK.md",".md","26645","26.021","2026-04-01T15:28:01.2577277Z","2.522","True","False","722","493","25049","34.694","250"
"docs/TAMS_OMEGA_P1_AMENDMENT_SPEC.md","docs","docs","TAMS_OMEGA_P1_AMENDMENT_SPEC.md",".md","5175","5.054","2026-04-01T15:28:01.2635927Z","2.522","True","False","127","91","4915","38.701","492"
"docs/TAMS_OMEGA_P2_ADVERSARIAL_SPEC.md","docs","docs","TAMS_OMEGA_P2_ADVERSARIAL_SPEC.md",".md","3355","3.276","2026-04-01T15:28:01.2671274Z","2.522","True","False","90","57","3172","35.244","356"
"docs/TAMS_OMEGA_P3_ENTROPY_SPEC.md","docs","docs","TAMS_OMEGA_P3_ENTROPY_SPEC.md",".md","3005","2.935","2026-04-01T15:28:01.2857630Z","2.522","True","False","84","52","2834","33.738","278"
"docs/TAMS_OMEGA_P4_SOVEREIGNTY_SPEC.md","docs","docs","TAMS_OMEGA_P4_SOVEREIGNTY_SPEC.md",".md","3001","2.931","2026-04-01T15:28:01.3015536Z","2.522","True","False","87","55","2824","32.46","333"
"docs/TECHNICAL_DOCUMENTATION_INDEX.md","docs","docs","TECHNICAL_DOCUMENTATION_INDEX.md",".md","20069","19.599","2026-04-01T15:28:01.3220653Z","2.522","True","False","243","184","19390","79.794","327"
"docs/TECHNICAL_SPECS_INDEX.md","docs","docs","TECHNICAL_SPECS_INDEX.md",".md","2649","2.587","2026-04-01T15:28:01.3262190Z","2.522","True","False","51","37","2533","49.667","203"
"docs/THEOLOGICAL_TECHNICAL_WHITEPAPER.md","docs","docs","THEOLOGICAL_TECHNICAL_WHITEPAPER.md",".md","4585","4.478","2026-04-01T15:28:01.3272311Z","2.522","True","False","90","53","4345","48.278","265"
