"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"emergent-microservices/README.md","emergent-microservices","emergent-microservices","README.md",".md","2017","1.97","2026-04-01T15:28:01.9884254Z","2.522","True","False","45","33","1873","41.622","142"
"emergent-microservices/_common/middleware.py","emergent-microservices","emergent-microservices\_common","middleware.py",".py","2783","2.718","2026-04-01T15:28:01.9894353Z","2.522","True","False","86","69","2611","30.36","88"
"emergent-microservices/ai-mutation-governance-firewall/.dockerignore","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall",".dockerignore",".dockerignore","423","0.413","2026-03-29T00:58:42.5269870Z","6.125","True","False","50","44","323","6.46","14"
"emergent-microservices/ai-mutation-governance-firewall/.env.example","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall",".env.example",".example","636","0.621","2026-03-29T00:58:42.5269870Z","6.125","True","False","34","28","568","16.706","56"
"emergent-microservices/ai-mutation-governance-firewall/.gitignore","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall",".gitignore",".gitignore","859","0.839","2026-03-29T00:58:42.5279882Z","6.125","True","False","84","73","691","8.226","43"
"emergent-microservices/ai-mutation-governance-firewall/.gitlab-ci.yml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall",".gitlab-ci.yml",".yml","2364","2.309","2026-03-29T00:58:42.5279882Z","6.125","True","False","99","90","2166","21.879","146"
"emergent-microservices/ai-mutation-governance-firewall/Dockerfile","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall","Dockerfile","[no-ext]","1635","1.597","2026-03-29T00:58:42.5289876Z","6.125","True","False","63","47","1509","23.952","100"
"emergent-microservices/ai-mutation-governance-firewall/pyproject.toml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall","pyproject.toml",".toml","2057","2.009","2026-03-29T00:58:42.5544818Z","6.125","True","False","87","78","1879","21.598","67"
"emergent-microservices/ai-mutation-governance-firewall/README.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall","README.md",".md","6193","6.048","2026-04-01T15:28:01.9909441Z","2.522","True","False","242","176","5653","23.36","94"
"emergent-microservices/ai-mutation-governance-firewall/requirements.txt","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall","requirements.txt",".txt","500","0.488","2026-03-29T00:58:42.5553341Z","6.125","True","False","30","26","440","14.667","25"
"emergent-microservices/ai-mutation-governance-firewall/app/__init__.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","__init__.py",".py","510","0.498","2026-04-01T15:28:01.9935279Z","2.522","True","False","14","13","478","34.143","67"
"emergent-microservices/ai-mutation-governance-firewall/app/config.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","config.py",".py","2268","2.215","2026-04-03T19:11:28.1663873Z","0.366","True","False","75","60","2118","28.24","97"
"emergent-microservices/ai-mutation-governance-firewall/app/errors.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","errors.py",".py","4923","4.808","2026-04-01T15:28:01.9955305Z","2.522","True","False","165","129","4593","27.836","79"
"emergent-microservices/ai-mutation-governance-firewall/app/firewall_logic.thirsty","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","firewall_logic.thirsty",".thirsty","2480","2.422","2026-04-01T15:28:01.9970394Z","2.522","True","False","68","57","2108","31","92"
"emergent-microservices/ai-mutation-governance-firewall/app/health.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","health.py",".py","3905","3.813","2026-04-03T19:11:28.1673968Z","0.366","True","False","116","98","3673","31.664","97"
"emergent-microservices/ai-mutation-governance-firewall/app/logging_config.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","logging_config.py",".py","1912","1.867","2026-04-03T19:11:28.1683943Z","0.366","True","False","60","47","1792","29.867","73"
"emergent-microservices/ai-mutation-governance-firewall/app/main.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","main.py",".py","4525","4.419","2026-04-01T15:28:02.0000516Z","2.522","True","False","166","134","4189","25.235","77"
"emergent-microservices/ai-mutation-governance-firewall/app/metrics.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","metrics.py",".py","2360","2.305","2026-04-01T15:28:02.0025736Z","2.522","True","False","81","69","2198","27.136","85"
"emergent-microservices/ai-mutation-governance-firewall/app/middleware.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","middleware.py",".py","7614","7.436","2026-04-03T19:11:28.1693975Z","0.366","True","False","216","172","7182","33.25","94"
"emergent-microservices/ai-mutation-governance-firewall/app/models.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","models.py",".py","1435","1.401","2026-04-01T15:28:02.0045737Z","2.522","True","False","47","36","1341","28.532","80"
"emergent-microservices/ai-mutation-governance-firewall/app/repository.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","repository.py",".py","2485","2.427","2026-04-01T15:28:02.0065740Z","2.522","True","False","75","58","2335","31.133","77"
"emergent-microservices/ai-mutation-governance-firewall/app/routes.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","routes.py",".py","2369","2.313","2026-04-01T15:28:02.0075749Z","2.522","True","False","77","62","2215","28.766","86"
"emergent-microservices/ai-mutation-governance-firewall/app/security.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","security.py",".py","3890","3.799","2026-04-01T15:28:02.0086657Z","2.522","True","False","139","105","3612","25.986","86"
"emergent-microservices/ai-mutation-governance-firewall/app/services.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\app","services.py",".py","2673","2.61","2026-04-01T15:28:02.0101768Z","2.522","True","False","73","54","2527","34.616","88"
"emergent-microservices/ai-mutation-governance-firewall/database/migrations/__init__.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\database\migrations","__init__.py",".py","151","0.147","2026-04-01T15:28:02.0130900Z","2.522","True","False","3","3","145","48.333","63"
"emergent-microservices/ai-mutation-governance-firewall/database/migrations/001_initial_schema.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\database\migrations","001_initial_schema.py",".py","208","0.203","2026-04-01T15:28:02.0121895Z","2.522","True","False","8","7","192","24","63"
"emergent-microservices/ai-mutation-governance-firewall/database/scripts/backup.sh","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\database\scripts","backup.sh",".sh","1012","0.988","2026-03-29T00:58:42.5416878Z","6.125","True","False","35","27","942","26.914","92"
"emergent-microservices/ai-mutation-governance-firewall/database/scripts/integrity_check.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\database\scripts","integrity_check.py",".py","710","0.693","2026-04-01T15:28:02.0146238Z","2.522","True","False","28","22","650","23.214","67"
"emergent-microservices/ai-mutation-governance-firewall/database/scripts/restore.sh","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\database\scripts","restore.sh",".sh","821","0.802","2026-03-29T00:58:42.5426876Z","6.125","True","False","32","24","757","23.656","63"
"emergent-microservices/ai-mutation-governance-firewall/database/scripts/rollback.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\database\scripts","rollback.py",".py","617","0.603","2026-04-01T15:28:02.0151503Z","2.522","True","False","23","18","571","24.826","70"
"emergent-microservices/ai-mutation-governance-firewall/docs/API.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\docs","API.md",".md","1964","1.918","2026-04-01T15:28:02.0161587Z","2.522","True","False","105","78","1754","16.705","68"
"emergent-microservices/ai-mutation-governance-firewall/docs/ARCHITECTURE.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\docs","ARCHITECTURE.md",".md","3284","3.207","2026-04-01T15:28:02.0187458Z","2.522","True","False","61","50","2092","34.295","86"
"emergent-microservices/ai-mutation-governance-firewall/docs/FAILURE_MODES.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\docs","FAILURE_MODES.md",".md","12055","11.772","2026-04-01T15:28:02.0197478Z","2.522","True","False","463","332","11123","24.024","104"
"emergent-microservices/ai-mutation-governance-firewall/docs/PERFORMANCE.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\docs","PERFORMANCE.md",".md","960","0.938","2026-04-01T15:28:02.0217454Z","2.522","True","False","36","25","888","24.667","68"
"emergent-microservices/ai-mutation-governance-firewall/docs/RUNBOOK.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\docs","RUNBOOK.md",".md","1768","1.727","2026-04-01T15:28:02.0227430Z","2.522","True","False","76","57","1616","21.263","83"
"emergent-microservices/ai-mutation-governance-firewall/docs/SECURITY.md","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\docs","SECURITY.md",".md","1707","1.667","2026-04-01T15:28:02.0237450Z","2.522","True","False","74","54","1559","21.068","68"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/configmap.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","configmap.yaml",".yaml","494","0.482","2026-03-29T00:58:42.5486916Z","6.125","True","False","17","17","460","27.059","63"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/deployment.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","deployment.yaml",".yaml","3018","2.947","2026-03-29T00:58:42.5496961Z","6.125","True","False","106","106","2806","26.472","88"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/hpa.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","hpa.yaml",".yaml","1064","1.039","2026-03-29T00:58:42.5496961Z","6.125","True","False","44","44","976","22.182","63"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/network-policy.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","network-policy.yaml",".yaml","1057","1.032","2026-03-29T00:58:42.5506925Z","6.125","True","False","47","47","963","20.489","63"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/pdb.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","pdb.yaml",".yaml","354","0.346","2026-03-29T00:58:42.5524649Z","6.125","True","False","12","12","330","27.5","63"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/secret.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","secret.yaml",".yaml","421","0.411","2026-03-29T00:58:42.5524649Z","6.125","True","False","13","13","395","30.385","63"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/service-monitor.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","service-monitor.yaml",".yaml","516","0.504","2026-03-29T00:58:42.5534937Z","6.125","True","False","19","19","478","25.158","63"
"emergent-microservices/ai-mutation-governance-firewall/kubernetes/service.yaml","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\kubernetes","service.yaml",".yaml","474","0.463","2026-03-29T00:58:42.5534937Z","6.125","True","False","19","19","436","22.947","63"
"emergent-microservices/ai-mutation-governance-firewall/tests/__init__.py","emergent-microservices","emergent-microservices\ai-mutation-governance-firewall\tests","__init__.py",".py","510","0.498","2026-04-01T15:28:02.0262677Z","2.522","True","False","14","13","478","34.143","67"
