"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"engines/__init__.py","engines","engines","__init__.py",".py","578","0.564","2026-04-01T15:28:02.2896732Z","2.522","True","False","18","16","542","30.111","72"
"engines/README.md","engines","engines","README.md",".md","1995","1.948","2026-04-01T15:28:02.2881566Z","2.522","True","False","49","36","1875","38.265","108"
"engines/ai_takeover/__init__.py","engines","engines\ai_takeover","__init__.py",".py","1072","1.047","2026-04-01T15:28:02.2983410Z","2.522","True","False","37","31","992","26.811","82"
"engines/ai_takeover/demo_reviewer_trap.py","engines","engines\ai_takeover","demo_reviewer_trap.py",".py","5481","5.353","2026-04-01T15:28:02.3003414Z","2.522","True","False","151","130","5147","34.086","88"
"engines/ai_takeover/demo.py","engines","engines\ai_takeover","demo.py",".py","8476","8.277","2026-04-01T15:28:02.2993390Z","2.522","True","False","238","193","7968","33.479","96"
"engines/ai_takeover/engine.py","engines","engines\ai_takeover","engine.py",".py","26854","26.225","2026-04-01T15:28:02.3028748Z","2.522","True","False","716","616","25390","35.461","95"
"engines/ai_takeover/EXECUTIVE_TRAP_SUMMARY.md","engines","engines\ai_takeover","EXECUTIVE_TRAP_SUMMARY.md",".md","8132","7.941","2026-04-01T15:28:02.2928100Z","2.522","True","False","312","200","7408","23.744","107"
"engines/ai_takeover/RED_TEAM_COMPLETE.md","engines","engines\ai_takeover","RED_TEAM_COMPLETE.md",".md","11747","11.472","2026-04-01T15:28:02.2948179Z","2.522","True","False","462","324","10649","23.05","115"
"engines/ai_takeover/THREAT_MODEL.md","engines","engines\ai_takeover","THREAT_MODEL.md",".md","11910","11.631","2026-04-01T15:28:02.2968192Z","2.522","True","False","432","274","10954","25.356","139"
"engines/ai_takeover/.github/PULL_REQUEST_TEMPLATE.md","engines","engines\ai_takeover\.github","PULL_REQUEST_TEMPLATE.md",".md","9941","9.708","2026-04-01T15:28:02.2918038Z","2.522","True","False","395","266","9097","23.03","117"
"engines/ai_takeover/modules/__init__.py","engines","engines\ai_takeover\modules","__init__.py",".py","758","0.74","2026-04-01T15:28:02.3048758Z","2.522","True","False","26","24","706","27.154","76"
"engines/ai_takeover/modules/reviewer_trap.py","engines","engines\ai_takeover\modules","reviewer_trap.py",".py","30853","30.13","2026-04-01T15:28:02.3058763Z","2.522","True","False","791","668","27993","35.389","114"
"engines/ai_takeover/modules/scenarios.py","engines","engines\ai_takeover\modules","scenarios.py",".py","24157","23.591","2026-04-01T15:28:02.3079289Z","2.522","True","False","589","546","22957","38.976","113"
"engines/ai_takeover/modules/terminal_validator.py","engines","engines\ai_takeover\modules","terminal_validator.py",".py","8393","8.196","2026-04-01T15:28:02.3089455Z","2.522","True","False","244","201","7893","32.348","98"
"engines/ai_takeover/schemas/__init__.py","engines","engines\ai_takeover\schemas","__init__.py",".py","522","0.51","2026-04-01T15:28:02.3104598Z","2.522","True","False","20","18","482","24.1","63"
"engines/ai_takeover/schemas/scenario_types.py","engines","engines\ai_takeover\schemas","scenario_types.py",".py","10095","9.858","2026-04-01T15:28:02.3124773Z","2.522","True","False","292","240","9511","32.572","86"
"engines/ai_takeover/tests/__init__.py","engines","engines\ai_takeover\tests","__init__.py",".py","190","0.186","2026-04-01T15:28:02.3134759Z","2.522","True","False","4","4","182","45.5","63"
"engines/ai_takeover/tests/test_engine.py","engines","engines\ai_takeover\tests","test_engine.py",".py","11714","11.439","2026-04-01T15:28:02.3154741Z","2.522","True","False","311","238","11090","35.659","90"
"engines/alien_invaders/__init__.py","engines","engines\alien_invaders","__init__.py",".py","795","0.776","2026-04-01T15:28:02.3189939Z","2.522","True","False","29","27","737","25.414","75"
"engines/alien_invaders/integration.py","engines","engines\alien_invaders","integration.py",".py","14963","14.612","2026-04-01T15:28:02.3291691Z","2.522","True","False","445","358","14073","31.625","90"
