"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"examples/agi_identity_demo.py","examples","examples","agi_identity_demo.py",".py","16343","15.96","2026-04-01T15:28:03.0627007Z","2.522","True","False","396","326","15491","39.119","102"
"examples/asymmetric_security_demo.py","examples","examples","asymmetric_security_demo.py",".py","10542","10.295","2026-04-01T15:28:03.0647009Z","2.522","True","False","314","241","9878","31.459","109"
"examples/cloud_sync_demo.py","examples","examples","cloud_sync_demo.py",".py","4146","4.049","2026-04-01T15:28:03.0656999Z","2.522","True","False","124","106","3870","31.21","84"
"examples/deepseek_demo.py","examples","examples","deepseek_demo.py",".py","5921","5.782","2026-04-01T15:28:03.0676996Z","2.522","True","False","208","163","5449","26.197","90"
"examples/function_knowledge_integration.py","examples","examples","function_knowledge_integration.py",".py","13537","13.22","2026-04-01T15:28:03.0686999Z","2.522","True","False","378","303","12753","33.738","88"
"examples/global_intelligence_library_demo.py","examples","examples","global_intelligence_library_demo.py",".py","12045","11.763","2026-04-01T15:28:03.0712291Z","2.522","True","False","352","282","11223","31.884","99"
"examples/global_watch_tower_demo.py","examples","examples","global_watch_tower_demo.py",".py","8646","8.443","2026-04-01T15:28:03.0747630Z","2.522","True","False","269","210","8072","30.007","97"
"examples/god_tier_command_center_demo.py","examples","examples","god_tier_command_center_demo.py",".py","3586","3.502","2026-04-01T15:28:03.0767737Z","2.522","True","False","119","93","3288","27.63","83"
"examples/hydra_50_examples.py","examples","examples","hydra_50_examples.py",".py","13247","12.937","2026-04-01T15:28:03.0784576Z","2.522","True","False","427","309","12393","29.023","82"
"examples/INTEGRATION_GUIDE.py","examples","examples","INTEGRATION_GUIDE.py",".py","10220","9.98","2026-04-01T15:28:03.0591827Z","2.522","True","False","324","237","9566","29.525","84"
"examples/mcp_examples.md","examples","examples","mcp_examples.md",".md","14647","14.304","2026-04-01T15:28:03.0794695Z","2.522","True","False","766","606","13115","17.121","210"
"examples/minimal_oop.thirst","examples","examples","minimal_oop.thirst",".thirst","124","0.121","2026-04-01T15:28:03.0809821Z","2.522","True","False","8","7","108","13.5","30"
"examples/offline_integration_example.py","examples","examples","offline_integration_example.py",".py","7434","7.26","2026-04-01T15:28:03.0819957Z","2.522","True","False","206","166","6942","33.699","87"
"examples/planetary_defense_examples.py","examples","examples","planetary_defense_examples.py",".py","7664","7.484","2026-04-01T15:28:03.0841562Z","2.522","True","False","221","182","7198","32.57","85"
"examples/README.md","examples","examples","README.md",".md","2046","1.998","2026-04-01T15:28:03.0606884Z","2.522","True","False","56","43","1928","34.429","82"
"examples/security_agents_demo.py","examples","examples","security_agents_demo.py",".py","11489","11.22","2026-04-01T15:28:03.0851655Z","2.522","True","False","335","257","10803","32.248","99"
"examples/security_integration.py","examples","examples","security_integration.py",".py","14785","14.438","2026-04-01T15:28:03.0861668Z","2.522","True","False","452","358","13861","30.666","88"
"examples/sovereign_messaging_integration.py","examples","examples","sovereign_messaging_integration.py",".py","9791","9.562","2026-04-01T15:28:03.0886893Z","2.522","True","False","294","237","9163","31.167","85"
"examples/sovereign-demo.yaml","examples","examples","sovereign-demo.yaml",".yaml","3496","3.414","2026-03-29T00:58:41.4766909Z","6.125","True","False","110","98","3276","29.782","73"
"examples/super_kernel_example.py","examples","examples","super_kernel_example.py",".py","7703","7.522","2026-04-01T15:28:03.0891964Z","2.522","True","False","240","191","7223","30.096","85"
"examples/temporal_integration_demo.py","examples","examples","temporal_integration_demo.py",".py","3901","3.81","2026-04-01T15:28:03.1011070Z","2.522","True","False","136","110","3621","26.625","82"
"examples/triumvirate_demo.py","examples","examples","triumvirate_demo.py",".py","6701","6.544","2026-04-01T15:28:03.1027217Z","2.522","True","False","219","160","6197","28.297","78"
"examples/tseca_ghost_examples.py","examples","examples","tseca_ghost_examples.py",".py","7167","6.999","2026-04-01T15:28:03.1038620Z","2.522","True","False","227","177","6695","29.493","85"
"examples/users.example.json","examples","examples","users.example.json",".json","260","0.254","2026-03-29T00:58:41.4835788Z","6.125","True","False","1","1","260","260","260"
"examples/v1_finality_test.thirst","examples","examples","v1_finality_test.thirst",".thirst","948","0.926","2026-04-01T15:28:03.1054899Z","2.522","True","False","39","31","870","22.308","64"
"examples/v1_tscgb_test.py","examples","examples","v1_tscgb_test.py",".py","1820","1.777","2026-04-01T15:28:03.1071059Z","2.522","True","False","56","42","1684","30.071","111"
"examples/temporal/batch_workflows_example.py","examples","examples\temporal","batch_workflows_example.py",".py","3107","3.034","2026-04-01T15:28:03.0934228Z","2.522","True","False","95","76","2913","30.663","88"
"examples/temporal/code_security_sweep_example.py","examples","examples\temporal","code_security_sweep_example.py",".py","3922","3.83","2026-04-01T15:28:03.0945034Z","2.522","True","False","124","102","3648","29.419","97"
"examples/temporal/image_generation_example.py","examples","examples\temporal","image_generation_example.py",".py","2351","2.296","2026-04-01T15:28:03.0961047Z","2.522","True","False","74","56","2199","29.716","85"
"examples/temporal/learning_workflow_example.py","examples","examples\temporal","learning_workflow_example.py",".py","2399","2.343","2026-04-01T15:28:03.0971816Z","2.522","True","False","77","59","2241","29.104","70"
"examples/temporal/liara_crisis_example.py","examples","examples\temporal","liara_crisis_example.py",".py","5408","5.281","2026-04-01T15:28:03.0982719Z","2.522","True","False","150","126","5096","33.973","89"
"examples/temporal/README.md","examples","examples\temporal","README.md",".md","2433","2.376","2026-04-01T15:28:03.0917837Z","2.522","True","False","106","71","2221","20.953","101"
"examples/temporal/red_team_campaign_example.py","examples","examples\temporal","red_team_campaign_example.py",".py","5238","5.115","2026-04-01T15:28:03.1000160Z","2.522","True","False","166","138","4874","29.361","86"
