"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"governance/__init__.py","governance","governance","__init__.py",".py","259","0.253","2026-04-01T15:28:03.1266823Z","2.522","True","False","7","5","245","35","63"
"governance/AI_PERSONA_FOUR_LAWS.md","governance","governance","AI_PERSONA_FOUR_LAWS.md",".md","17310","16.904","2026-04-01T15:28:03.1231441Z","2.522","True","False","669","448","15934","23.818","339"
"governance/audit_log.yaml","governance","governance","audit_log.yaml",".yaml","16575","16.187","2026-04-04T02:51:55.5086240Z","0.047","True","False","504","504","15567","30.887","79"
"governance/core.py","governance","governance","core.py",".py","744","0.727","2026-04-01T15:28:03.1455167Z","2.522","True","False","27","20","690","25.556","65"
"governance/existential_proof.py","governance","governance","existential_proof.py",".py","21452","20.949","2026-04-01T15:28:03.1466173Z","2.522","True","False","567","488","20318","35.834","112"
"governance/governance_state.json","governance","governance","governance_state.json",".json","703","0.687","2026-03-29T00:58:46.0749303Z","6.125","True","False","23","23","657","28.565","94"
"governance/iron_path.py","governance","governance","iron_path.py",".py","20040","19.57","2026-04-01T15:28:03.1486273Z","2.522","True","False","600","486","18836","31.393","89"
"governance/README.md","governance","governance","README.md",".md","2413","2.356","2026-04-01T15:28:03.1246683Z","2.522","True","False","50","37","2285","45.7","181"
"governance/singularity_override.py","governance","governance","singularity_override.py",".py","23903","23.343","2026-04-01T15:28:03.1506297Z","2.522","True","False","651","534","22601","34.717","88"
"governance/sovereign_runtime.py","governance","governance","sovereign_runtime.py",".py","20431","19.952","2026-04-01T15:28:03.1516258Z","2.522","True","False","590","475","19251","32.629","85"
"governance/sovereign_runtime.thirsty","governance","governance","sovereign_runtime.thirsty",".thirsty","3544","3.461","2026-04-01T15:28:03.1535556Z","2.522","True","False","96","81","3352","34.917","86"
"governance/sovereign_verifier.py","governance","governance","sovereign_verifier.py",".py","17875","17.456","2026-04-01T15:28:03.1550942Z","2.522","True","False","472","395","16931","35.871","87"
"governance/ai-mutation-governance-firewall/__init__.py","governance","governance\ai-mutation-governance-firewall","__init__.py",".py","510","0.498","2026-04-01T15:28:03.1276802Z","2.522","True","False","14","13","478","34.143","67"
"governance/ai-mutation-governance-firewall/config.py","governance","governance\ai-mutation-governance-firewall","config.py",".py","2268","2.215","2026-04-01T15:28:03.1290601Z","2.522","True","False","75","60","2118","28.24","97"
"governance/ai-mutation-governance-firewall/errors.py","governance","governance\ai-mutation-governance-firewall","errors.py",".py","4923","4.808","2026-04-01T15:28:03.1310621Z","2.522","True","False","165","129","4593","27.836","79"
"governance/ai-mutation-governance-firewall/health.py","governance","governance\ai-mutation-governance-firewall","health.py",".py","3905","3.813","2026-04-01T15:28:03.1325696Z","2.522","True","False","116","98","3673","31.664","97"
"governance/ai-mutation-governance-firewall/logging_config.py","governance","governance\ai-mutation-governance-firewall","logging_config.py",".py","1912","1.867","2026-04-01T15:28:03.1336030Z","2.522","True","False","60","47","1792","29.867","73"
"governance/ai-mutation-governance-firewall/main.py","governance","governance\ai-mutation-governance-firewall","main.py",".py","4112","4.016","2026-04-01T15:28:03.1341716Z","2.522","True","False","150","125","3808","25.387","77"
"governance/ai-mutation-governance-firewall/metrics.py","governance","governance\ai-mutation-governance-firewall","metrics.py",".py","2360","2.305","2026-04-01T15:28:03.1367042Z","2.522","True","False","81","69","2198","27.136","85"
"governance/ai-mutation-governance-firewall/middleware.py","governance","governance\ai-mutation-governance-firewall","middleware.py",".py","7614","7.436","2026-04-01T15:28:03.1377063Z","2.522","True","False","216","172","7182","33.25","94"
