"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"gradle-evolution/__init__.py","gradle-evolution","gradle-evolution","__init__.py",".py","986","0.963","2026-04-01T15:28:03.1606018Z","2.522","True","False","29","26","926","31.931","83"
"gradle-evolution/EVOLUTION_ARCHITECTURE.md","gradle-evolution","gradle-evolution","EVOLUTION_ARCHITECTURE.md",".md","21678","21.17","2026-04-01T15:28:03.1560947Z","2.522","True","False","814","542","18542","22.779","258"
"gradle-evolution/gradle_integration.py","gradle-evolution","gradle-evolution","gradle_integration.py",".py","11437","11.169","2026-04-01T15:28:03.1936857Z","2.522","True","False","317","261","10785","34.022","88"
"gradle-evolution/QUICKSTART.md","gradle-evolution","gradle-evolution","QUICKSTART.md",".md","1833","1.79","2026-04-01T15:28:03.1580938Z","2.522","True","False","96","60","1641","17.094","72"
"gradle-evolution/README.md","gradle-evolution","gradle-evolution","README.md",".md","5545","5.415","2026-04-01T15:28:03.1590973Z","2.522","True","False","233","161","4817","20.674","253"
"gradle-evolution/test_ir.py","gradle-evolution","gradle-evolution","test_ir.py",".py","3763","3.675","2026-04-01T15:28:03.2103429Z","2.522","True","False","134","96","3463","25.843","88"
"gradle-evolution/api/__init__.py","gradle-evolution","gradle-evolution\api","__init__.py",".py","480","0.469","2026-04-01T15:28:03.1622987Z","2.522","True","False","16","13","448","28","71"
"gradle-evolution/api/documentation_generator.py","gradle-evolution","gradle-evolution\api","documentation_generator.py",".py","13772","13.449","2026-04-01T15:28:03.1633030Z","2.522","True","False","379","307","13010","34.327","119"
"gradle-evolution/api/verifiability_api.py","gradle-evolution","gradle-evolution\api","verifiability_api.py",".py","10579","10.331","2026-04-01T15:28:03.1648080Z","2.522","True","False","284","241","10011","35.25","88"
"gradle-evolution/audit/__init__.py","gradle-evolution","gradle-evolution\audit","__init__.py",".py","448","0.438","2026-04-01T15:28:03.1658123Z","2.522","True","False","16","13","416","26","63"
"gradle-evolution/audit/accountability.py","gradle-evolution","gradle-evolution\audit","accountability.py",".py","15546","15.182","2026-04-01T15:28:03.1678108Z","2.522","True","False","467","385","14612","31.289","90"
"gradle-evolution/audit/audit_integration.py","gradle-evolution","gradle-evolution\audit","audit_integration.py",".py","14553","14.212","2026-04-01T15:28:03.1688130Z","2.522","True","False","446","374","13661","30.63","88"
"gradle-evolution/capsules/__init__.py","gradle-evolution","gradle-evolution\capsules","__init__.py",".py","431","0.421","2026-04-01T15:28:03.1698091Z","2.522","True","False","16","13","399","24.938","71"
"gradle-evolution/capsules/capsule_engine.py","gradle-evolution","gradle-evolution\capsules","capsule_engine.py",".py","13065","12.759","2026-04-01T15:28:03.1713172Z","2.522","True","False","398","326","12269","30.827","87"
"gradle-evolution/capsules/replay_engine.py","gradle-evolution","gradle-evolution\capsules","replay_engine.py",".py","11785","11.509","2026-04-01T15:28:03.1723246Z","2.522","True","False","344","281","11097","32.259","88"
"gradle-evolution/cognition/__init__.py","gradle-evolution","gradle-evolution\cognition","__init__.py",".py","469","0.458","2026-04-01T15:28:03.1733276Z","2.522","True","False","16","13","437","27.312","78"
"gradle-evolution/cognition/build_cognition.py","gradle-evolution","gradle-evolution\cognition","build_cognition.py",".py","11876","11.598","2026-04-01T15:28:03.1748354Z","2.522","True","False","318","254","11240","35.346","92"
"gradle-evolution/cognition/state_integration.py","gradle-evolution","gradle-evolution\cognition","state_integration.py",".py","11524","11.254","2026-04-01T15:28:03.1758481Z","2.522","True","False","343","278","10838","31.598","85"
"gradle-evolution/constitutional/__init__.py","gradle-evolution","gradle-evolution\constitutional","__init__.py",".py","598","0.584","2026-04-01T15:28:03.1768452Z","2.522","True","False","19","16","560","29.474","70"
"gradle-evolution/constitutional/enforcer.py","gradle-evolution","gradle-evolution\constitutional","enforcer.py",".py","8434","8.236","2026-04-01T15:28:03.1788449Z","2.522","True","False","246","200","7942","32.285","87"
"gradle-evolution/constitutional/engine.py","gradle-evolution","gradle-evolution\constitutional","engine.py",".py","5683","5.55","2026-04-01T15:28:03.1798444Z","2.522","True","False","149","121","5385","36.141","88"
"gradle-evolution/constitutional/temporal_law.py","gradle-evolution","gradle-evolution\constitutional","temporal_law.py",".py","10583","10.335","2026-04-01T15:28:03.1808453Z","2.522","True","False","313","252","9957","31.812","102"
"gradle-evolution/db/__init__.py","gradle-evolution","gradle-evolution\db","__init__.py",".py","553","0.54","2026-04-01T15:28:03.1839433Z","2.522","True","False","19","16","515","27.105","76"
"gradle-evolution/db/graph_db.py","gradle-evolution","gradle-evolution\db","graph_db.py",".py","27598","26.951","2026-04-01T15:28:03.1854643Z","2.522","True","False","768","651","26060","33.932","100"
"gradle-evolution/db/integration_example.py","gradle-evolution","gradle-evolution\db","integration_example.py",".py","8915","8.706","2026-04-01T15:28:03.1864742Z","2.522","True","False","267","234","8357","31.3","87"
"gradle-evolution/db/memory_manager.py","gradle-evolution","gradle-evolution\db","memory_manager.py",".py","20983","20.491","2026-04-01T15:28:03.1879834Z","2.522","True","False","595","494","19793","33.266","87"
"gradle-evolution/db/migrations.py","gradle-evolution","gradle-evolution\db","migrations.py",".py","23573","23.021","2026-04-01T15:28:03.1895201Z","2.522","True","False","658","554","22257","33.825","95"
"gradle-evolution/db/queries.py","gradle-evolution","gradle-evolution\db","queries.py",".py","27400","26.758","2026-04-01T15:28:03.1910285Z","2.522","True","False","771","662","25858","33.538","92"
"gradle-evolution/db/README.md","gradle-evolution","gradle-evolution\db","README.md",".md","13805","13.481","2026-04-01T15:28:03.1823540Z","2.522","True","False","562","372","12645","22.5","186"
"gradle-evolution/db/schema.py","gradle-evolution","gradle-evolution\db","schema.py",".py","40449","39.501","2026-04-01T15:28:03.1910285Z","2.522","True","False","1088","984","38273","35.177","122"
"gradle-evolution/db/sql_utils.py","gradle-evolution","gradle-evolution\db","sql_utils.py",".py","2615","2.554","2026-04-01T15:28:03.1936857Z","2.522","True","False","89","65","2437","27.382","80"
"gradle-evolution/ir/__init__.py","gradle-evolution","gradle-evolution\ir","__init__.py",".py","2326","2.271","2026-04-01T15:28:03.1967964Z","2.522","True","False","84","78","2156","25.667","91"
"gradle-evolution/ir/compiler.py","gradle-evolution","gradle-evolution\ir","compiler.py",".py","20273","19.798","2026-04-01T15:28:03.1979315Z","2.522","True","False","565","473","19143","33.881","100"
"gradle-evolution/ir/example.py","gradle-evolution","gradle-evolution\ir","example.py",".py","11959","11.679","2026-04-01T15:28:03.1995319Z","2.522","True","False","407","332","11123","27.329","87"
"gradle-evolution/ir/ir_executor.py","gradle-evolution","gradle-evolution\ir","ir_executor.py",".py","19543","19.085","2026-04-01T15:28:03.2006032Z","2.522","True","False","565","463","18413","32.589","112"
"gradle-evolution/ir/ir_schema.py","gradle-evolution","gradle-evolution\ir","ir_schema.py",".py","15999","15.624","2026-04-01T15:28:03.2022121Z","2.522","True","False","471","395","15057","31.968","95"
"gradle-evolution/ir/optimizer.py","gradle-evolution","gradle-evolution\ir","optimizer.py",".py","20595","20.112","2026-04-01T15:28:03.2038022Z","2.522","True","False","561","455","19473","34.711","98"
"gradle-evolution/ir/README.md","gradle-evolution","gradle-evolution\ir","README.md",".md","12868","12.566","2026-04-01T15:28:03.1957393Z","2.522","True","False","512","347","11800","23.047","210"
"gradle-evolution/ir/verifier.py","gradle-evolution","gradle-evolution\ir","verifier.py",".py","19725","19.263","2026-04-01T15:28:03.2048768Z","2.522","True","False","561","446","18603","33.16","102"
"gradle-evolution/security/__init__.py","gradle-evolution","gradle-evolution\security","__init__.py",".py","427","0.417","2026-04-01T15:28:03.2059525Z","2.522","True","False","16","13","395","24.688","65"
"gradle-evolution/security/policy_scheduler.py","gradle-evolution","gradle-evolution\security","policy_scheduler.py",".py","13060","12.754","2026-04-01T15:28:03.2075998Z","2.522","True","False","372","304","12316","33.108","87"
"gradle-evolution/security/security_engine.py","gradle-evolution","gradle-evolution\security","security_engine.py",".py","10775","10.522","2026-04-01T15:28:03.2087466Z","2.522","True","False","331","266","10113","30.553","88"
