"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"h323_sec_profile/H323_SEC_PROFILE_v1.py","h323_sec_profile","h323_sec_profile","H323_SEC_PROFILE_v1.py",".py","19593","19.134","2026-04-03T19:11:28.2049463Z","0.366","True","False","666","487","18261","27.419","101"
"h323_sec_profile/H323-Business-Continuity-DR-Plan-v1.0.md","h323_sec_profile","h323_sec_profile","H323-Business-Continuity-DR-Plan-v1.0.md",".md","11466","11.197","2026-04-01T15:28:03.2125018Z","2.522","True","False","500","336","10464","20.928","102"
"h323_sec_profile/H323-Configuration-Baselines-v1.0.md","h323_sec_profile","h323_sec_profile","H323-Configuration-Baselines-v1.0.md",".md","11873","11.595","2026-04-01T15:28:03.2141037Z","2.522","True","False","533","398","10805","20.272","179"
"h323_sec_profile/H323-Incident-Response-Playbook-v1.0.md","h323_sec_profile","h323_sec_profile","H323-Incident-Response-Playbook-v1.0.md",".md","17538","17.127","2026-04-01T15:28:03.2151706Z","2.522","True","False","751","521","15730","20.945","126"
"h323_sec_profile/H323-Logging-Schema-Event-Taxonomy-v1.0.md","h323_sec_profile","h323_sec_profile","H323-Logging-Schema-Event-Taxonomy-v1.0.md",".md","13602","13.283","2026-04-01T15:28:03.2162514Z","2.522","True","False","532","383","12506","23.508","166"
"h323_sec_profile/H323-Monitoring-Telemetry-Specification-v1.0.md","h323_sec_profile","h323_sec_profile","H323-Monitoring-Telemetry-Specification-v1.0.md",".md","22495","21.968","2026-04-01T15:28:03.2178654Z","2.522","True","False","689","524","19961","28.971","180"
"h323_sec_profile/H323-Secure-Coding-Guidelines-v1.0.md","h323_sec_profile","h323_sec_profile","H323-Secure-Coding-Guidelines-v1.0.md",".md","13490","13.174","2026-04-01T15:28:03.2195198Z","2.522","True","False","545","366","12398","22.749","169"
"h323_sec_profile/project_ai_fastapi.py","h323_sec_profile","h323_sec_profile","project_ai_fastapi.py",".py","3977","3.884","2026-04-01T15:28:03.2255267Z","2.522","True","False","148","101","3681","24.872","87"
"h323_sec_profile/PROJECT-AI-Security-Philosophy.txt","h323_sec_profile","h323_sec_profile","PROJECT-AI-Security-Philosophy.txt",".txt","1490","1.455","2026-03-29T00:58:40.5891427Z","6.125","True","False","26","20","1434","55.154","173"
"h323_sec_profile/ProjectAI-H323-Security-Capability-Profile-extension.py","h323_sec_profile","h323_sec_profile","ProjectAI-H323-Security-Capability-Profile-extension.py",".py","663","0.647","2026-04-01T15:28:03.2216759Z","2.522","True","False","31","23","601","19.387","72"
"h323_sec_profile/README.md","h323_sec_profile","h323_sec_profile","README.md",".md","6307","6.159","2026-04-01T15:28:03.2233817Z","2.522","True","False","187","123","5847","31.267","249"
"h323_sec_profile/Secure-H323-Operational-Runbook-v1.0.md","h323_sec_profile","h323_sec_profile","Secure-H323-Operational-Runbook-v1.0.md",".md","14317","13.981","2026-04-01T15:28:03.2244384Z","2.522","True","False","639","419","13027","20.387","197"
