"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"hardware_schematics/LIVE_TRANSLATION_MATRIX.md","hardware_schematics","hardware_schematics","LIVE_TRANSLATION_MATRIX.md",".md","23817","23.259","2026-04-01T15:28:03.2270976Z","2.522","True","False","502","398","21654","43.135","953"
"hardware_schematics/README.md","hardware_schematics","hardware_schematics","README.md",".md","12501","12.208","2026-04-01T15:28:03.2270976Z","2.522","True","False","247","198","11759","47.607","293"
"hardware_schematics/platforms/android/INTEGRATION.md","hardware_schematics","hardware_schematics\platforms\android","INTEGRATION.md",".md","10749","10.497","2026-04-01T15:28:03.2298422Z","2.522","True","False","326","254","10085","30.936","325"
"hardware_schematics/platforms/cloud/INTEGRATION.md","hardware_schematics","hardware_schematics\platforms\cloud","INTEGRATION.md",".md","37852","36.965","2026-04-01T15:28:03.2308425Z","2.522","True","False","1313","1134","33555","25.556","303"
"hardware_schematics/platforms/edge/INTEGRATION.md","hardware_schematics","hardware_schematics\platforms\edge","INTEGRATION.md",".md","32742","31.975","2026-04-01T15:28:03.2318416Z","2.522","True","False","972","784","30728","31.613","343"
"hardware_schematics/platforms/linux/INTEGRATION.md","hardware_schematics","hardware_schematics\platforms\linux","INTEGRATION.md",".md","12781","12.481","2026-04-01T15:28:03.2340778Z","2.522","True","False","560","437","11625","20.759","217"
"hardware_schematics/platforms/raspberry_pi/INTEGRATION.md","hardware_schematics","hardware_schematics\platforms\raspberry_pi","INTEGRATION.md",".md","16745","16.353","2026-04-01T15:28:03.2340778Z","2.522","True","False","623","480","15496","24.873","330"
"hardware_schematics/platforms/stm32/INTEGRATION.md","hardware_schematics","hardware_schematics\platforms\stm32","INTEGRATION.md",".md","19999","19.53","2026-04-01T15:28:03.2355955Z","2.522","True","False","559","447","18465","33.032","353"
"hardware_schematics/variants/biologist/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\biologist","SPECIFICATIONS.md",".md","16756","16.363","2026-04-01T15:28:03.2371136Z","2.522","True","False","404","325","15740","38.96","405"
"hardware_schematics/variants/contractor/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\contractor","SPECIFICATIONS.md",".md","17445","17.036","2026-04-01T15:28:03.2392208Z","2.522","True","False","418","340","16354","39.124","353"
"hardware_schematics/variants/engineer/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\engineer","SPECIFICATIONS.md",".md","16976","16.578","2026-04-01T15:28:03.2402216Z","2.522","True","False","414","339","15212","36.744","314"
"hardware_schematics/variants/enterprise/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\enterprise","SPECIFICATIONS.md",".md","15357","14.997","2026-04-01T15:28:03.2412200Z","2.522","True","False","374","304","14609","39.061","342"
"hardware_schematics/variants/geologist/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\geologist","SPECIFICATIONS.md",".md","14598","14.256","2026-04-01T15:28:03.2427936Z","2.522","True","False","345","282","13700","39.71","354"
"hardware_schematics/variants/journalist/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\journalist","SPECIFICATIONS.md",".md","14480","14.141","2026-04-01T15:28:03.2438028Z","2.522","True","False","338","278","13621","40.299","387"
"hardware_schematics/variants/law_enforcement/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\law_enforcement","SPECIFICATIONS.md",".md","16536","16.148","2026-04-01T15:28:03.2448026Z","2.522","True","False","358","292","15617","43.623","319"
"hardware_schematics/variants/lawyer/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\lawyer","SPECIFICATIONS.md",".md","15812","15.441","2026-04-01T15:28:03.2458019Z","2.522","True","False","352","286","14936","42.432","322"
"hardware_schematics/variants/medical/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\medical","SPECIFICATIONS.md",".md","18153","17.728","2026-04-01T15:28:03.2473100Z","2.522","True","False","418","342","17088","40.88","397"
"hardware_schematics/variants/military/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\military","SPECIFICATIONS.md",".md","18135","17.71","2026-04-01T15:28:03.2483183Z","2.522","True","False","420","346","17109","40.736","384"
"hardware_schematics/variants/researcher/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\researcher","SPECIFICATIONS.md",".md","14989","14.638","2026-04-01T15:28:03.2493180Z","2.522","True","False","379","308","14060","37.098","338"
"hardware_schematics/variants/scientist/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\scientist","SPECIFICATIONS.md",".md","17763","17.347","2026-04-01T15:28:03.2513218Z","2.522","True","False","415","341","16035","38.639","310"
"hardware_schematics/variants/stock_analyst/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\stock_analyst","SPECIFICATIONS.md",".md","15250","14.893","2026-04-01T15:28:03.2513218Z","2.522","True","False","391","314","14457","36.974","376"
"hardware_schematics/variants/student/SPECIFICATIONS.md","hardware_schematics","hardware_schematics\variants\student","SPECIFICATIONS.md",".md","13406","13.092","2026-04-01T15:28:03.2528128Z","2.522","True","False","316","251","12763","40.389","304"
