"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"k8s/blue-green-deploy.sh","k8s","k8s","blue-green-deploy.sh",".sh","9374","9.154","2026-03-29T00:58:44.7378373Z","6.125","True","False","293","253","8754","29.877","165"
"k8s/deploy.sh","k8s","k8s","deploy.sh",".sh","5514","5.385","2026-03-29T00:58:44.7388373Z","6.125","True","False","202","161","5058","25.04","117"
"k8s/grafana-dashboards.yaml","k8s","k8s","grafana-dashboards.yaml",".yaml","6682","6.525","2026-03-29T00:58:44.7458441Z","6.125","True","False","233","231","6216","26.678","125"
"k8s/README.md","k8s","k8s","README.md",".md","12705","12.407","2026-04-01T15:28:03.5134563Z","2.522","True","False","616","401","11217","18.209","184"
"k8s/vault-integration.yaml","k8s","k8s","vault-integration.yaml",".yaml","4831","4.718","2026-03-29T00:58:44.7766937Z","6.125","True","False","180","167","4471","24.839","81"
"k8s/base/configmap.yaml","k8s","k8s\base","configmap.yaml",".yaml","1464","1.43","2026-03-29T00:58:44.7298374Z","6.125","True","False","61","53","1342","22","63"
"k8s/base/deployment.yaml","k8s","k8s\base","deployment.yaml",".yaml","5615","5.483","2026-03-29T00:58:44.7298374Z","6.125","True","False","205","191","5205","25.39","133"
"k8s/base/hpa.yaml","k8s","k8s\base","hpa.yaml",".yaml","1220","1.191","2026-03-29T00:58:44.7308373Z","6.125","True","False","52","52","1116","21.462","63"
"k8s/base/ingress.yaml","k8s","k8s\base","ingress.yaml",".yaml","2439","2.382","2026-03-29T00:58:44.7318373Z","6.125","True","False","72","66","2295","31.875","170"
"k8s/base/kustomization.yaml","k8s","k8s\base","kustomization.yaml",".yaml","651","0.636","2026-03-29T00:58:44.7318373Z","6.125","True","False","31","27","589","19","63"
"k8s/base/monitoring.yaml","k8s","k8s\base","monitoring.yaml",".yaml","5761","5.626","2026-03-29T00:58:44.7328372Z","6.125","True","False","215","206","5331","24.795","126"
