"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"kernel/__init__.py","kernel","kernel","__init__.py",".py","311","0.304","2026-04-01T15:28:03.5567207Z","2.522","True","False","8","6","295","36.875","63"
"kernel/advanced_visualizations.py","kernel","kernel","advanced_visualizations.py",".py","10966","10.709","2026-04-01T15:28:03.5582417Z","2.522","True","False","346","279","10232","29.572","105"
"kernel/config.py","kernel","kernel","config.py",".py","15313","14.954","2026-04-01T15:28:03.5657594Z","2.522","True","False","490","381","14331","29.247","101"
"kernel/dashboard_server.py","kernel","kernel","dashboard_server.py",".py","7548","7.371","2026-04-01T15:28:03.5685585Z","2.522","True","False","226","179","7094","31.389","86"
"kernel/deception.py","kernel","kernel","deception.py",".py","18233","17.806","2026-04-01T15:28:03.5715634Z","2.522","True","False","513","424","17201","33.53","200"
"kernel/execution.py","kernel","kernel","execution.py",".py","5684","5.551","2026-04-01T15:28:03.5735579Z","2.522","True","False","151","125","5382","35.642","108"
"kernel/health.py","kernel","kernel","health.py",".py","15626","15.26","2026-04-01T15:28:03.5775887Z","2.522","True","False","470","376","14686","31.247","91"
"kernel/holographic.py","kernel","kernel","holographic.py",".py","15592","15.227","2026-04-01T15:28:03.5815998Z","2.522","True","False","450","345","14674","32.609","87"
"kernel/isolation.py","kernel","kernel","isolation.py",".py","18488","18.055","2026-04-01T15:28:03.5887096Z","2.522","True","False","564","468","17360","30.78","131"
"kernel/learning_engine.py","kernel","kernel","learning_engine.py",".py","16678","16.287","2026-04-01T15:28:03.5961376Z","2.522","True","False","470","373","15738","33.485","88"
"kernel/memory.py","kernel","kernel","memory.py",".py","22593","22.063","2026-04-01T15:28:03.5991389Z","2.522","True","False","647","517","21299","32.92","122"
"kernel/performance_benchmark.py","kernel","kernel","performance_benchmark.py",".py","8902","8.693","2026-04-01T15:28:03.6001376Z","2.522","True","False","275","212","8352","30.371","88"
"kernel/project_ai_bridge.py","kernel","kernel","project_ai_bridge.py",".py","12263","11.976","2026-04-01T15:28:03.6046581Z","2.522","True","False","349","283","11555","33.109","87"
"kernel/README.md","kernel","kernel","README.md",".md","2790","2.725","2026-04-01T15:28:03.5506642Z","2.522","True","False","127","85","2500","19.685","69"
"kernel/scheduler.py","kernel","kernel","scheduler.py",".py","17058","16.658","2026-04-01T15:28:03.6066589Z","2.522","True","False","482","386","16090","33.382","97"
"kernel/syscall_interception.py","kernel","kernel","syscall_interception.py",".py","10621","10.372","2026-04-01T15:28:03.6091810Z","2.522","True","False","335","261","9933","29.651","88"
"kernel/tarl_codex_bridge.py","kernel","kernel","tarl_codex_bridge.py",".py","690","0.674","2026-04-01T15:28:03.6117015Z","2.522","True","False","19","16","652","34.316","86"
"kernel/tarl_gate.py","kernel","kernel","tarl_gate.py",".py","1312","1.281","2026-04-01T15:28:03.6143346Z","2.522","True","False","39","28","1234","31.641","74"
"kernel/telemetry.py","kernel","kernel","telemetry.py",".py","17765","17.349","2026-04-01T15:28:03.6183349Z","2.522","True","False","570","467","16623","29.163","88"
"kernel/thirsty_super_kernel.py","kernel","kernel","thirsty_super_kernel.py",".py","17634","17.221","2026-04-01T15:28:03.6203355Z","2.522","True","False","494","405","16624","33.652","88"
"kernel/threat_detection.py","kernel","kernel","threat_detection.py",".py","16427","16.042","2026-04-01T15:28:03.6258650Z","2.522","True","False","487","389","15453","31.731","88"
"kernel/tracing.py","kernel","kernel","tracing.py",".py","15978","15.604","2026-04-01T15:28:03.6298667Z","2.522","True","False","533","414","14904","27.962","93"
"kernel/visualize.py","kernel","kernel","visualize.py",".py","15332","14.973","2026-04-01T15:28:03.6333803Z","2.522","True","False","320","267","11894","37.169","190"
"kernel/web_dashboard/dashboard.js","kernel","kernel\web_dashboard","dashboard.js",".js","13031","12.726","2026-04-01T15:28:03.6358983Z","2.522","True","False","352","302","12309","34.969","132"
"kernel/web_dashboard/index.html","kernel","kernel\web_dashboard","index.html",".html","7937","7.751","2026-03-29T00:58:39.2782687Z","6.125","True","False","175","164","7573","43.274","103"
"kernel/web_dashboard/style.css","kernel","kernel\web_dashboard","style.css",".css","10235","9.995","2026-03-29T00:58:39.2782687Z","6.125","True","False","488","417","9259","18.973","91"
