"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"octoreflex/arbitration.tarl","octoreflex","octoreflex","arbitration.tarl",".tarl","1216","1.188","2026-04-01T15:28:03.7620375Z","2.522","True","False","38","30","1140","30","81"
"octoreflex/bridge_from_emergent.py","octoreflex","octoreflex","bridge_from_emergent.py",".py","2155","2.104","2026-04-01T15:28:03.7680472Z","2.522","True","False","62","50","2031","32.758","87"
"octoreflex/firewall.tarl","octoreflex","octoreflex","firewall.tarl",".tarl","1108","1.082","2026-04-01T15:28:03.7884105Z","2.522","True","False","35","29","1038","29.657","80"
"octoreflex/go.mod","octoreflex","octoreflex","go.mod",".mod","1005","0.981","2026-03-29T00:58:40.6057629Z","6.125","True","False","29","26","947","32.655","89"
"octoreflex/governance.tarl","octoreflex","octoreflex","governance.tarl",".tarl","1395","1.362","2026-04-01T15:28:03.7949294Z","2.522","True","False","49","41","1297","26.469","106"
"octoreflex/LICENSE","octoreflex","octoreflex","LICENSE","[no-ext]","10445","10.2","2026-03-29T00:58:40.5891427Z","6.125","True","False","184","154","10077","54.766","77"
"octoreflex/Makefile","octoreflex","octoreflex","Makefile","[no-ext]","12771","12.472","2026-03-29T00:58:40.5891427Z","6.125","True","False","245","217","9527","38.886","85"
"octoreflex/octoreflex_manifest.thirsty","octoreflex","octoreflex","octoreflex_manifest.thirsty",".thirsty","851","0.831","2026-04-01T15:28:03.8114736Z","2.522","True","False","29","24","793","27.345","91"
"octoreflex/README.md","octoreflex","octoreflex","README.md",".md","11477","11.208","2026-04-01T15:28:03.7549355Z","2.522","True","False","303","214","9935","32.789","298"
"octoreflex/reflex.tarl","octoreflex","octoreflex","reflex.tarl",".tarl","2938","2.869","2026-04-01T15:28:03.8134744Z","2.522","True","False","97","78","2742","28.268","124"
"octoreflex/verify.js","octoreflex","octoreflex","verify.js",".js","2659","2.597","2026-03-29T00:58:40.6391789Z","6.125","True","False","74","62","2511","33.932","110"
"octoreflex/VERSION","octoreflex","octoreflex","VERSION","[no-ext]","7","0.007","2026-03-29T00:58:40.5972281Z","6.125","True","False","1","1","5","5","5"
"octoreflex/api/proto/envelope.proto","octoreflex","octoreflex\api\proto","envelope.proto",".proto","6686","6.529","2026-03-29T00:58:40.5972281Z","6.125","True","False","164","131","6345","38.689","88"
"octoreflex/bench/run_benchmarks.sh","octoreflex","octoreflex\bench","run_benchmarks.sh",".sh","17784","17.367","2026-03-29T00:58:40.5972281Z","6.125","True","False","420","368","15864","37.771","139"
"octoreflex/bench/targets.json","octoreflex","octoreflex\bench","targets.json",".json","2774","2.709","2026-03-29T00:58:40.5972281Z","6.125","True","False","72","72","2630","36.528","126"
"octoreflex/bench/cmd/latency/main.go","octoreflex","octoreflex\bench\cmd\latency","main.go",".go","3943","3.851","2026-03-29T00:58:40.5972281Z","6.125","True","False","157","138","3620","23.057","88"
"octoreflex/bpf/Makefile","octoreflex","octoreflex\bpf","Makefile","[no-ext]","3782","3.693","2026-03-29T00:58:40.5972281Z","6.125","True","False","107","91","3540","33.084","103"
"octoreflex/bpf/octoreflex.bpf.c","octoreflex","octoreflex\bpf","octoreflex.bpf.c",".c","9138","8.924","2026-03-29T00:58:40.6051954Z","6.125","True","False","248","224","8602","34.685","80"
"octoreflex/bpf/octoreflex.h","octoreflex","octoreflex\bpf","octoreflex.h",".h","4416","4.312","2026-03-29T00:58:40.6057629Z","6.125","True","False","112","97","4174","37.268","79"
"octoreflex/cmd/octoreflex/main.go","octoreflex","octoreflex\cmd\octoreflex","main.go",".go","15616","15.25","2026-03-29T00:58:40.6057629Z","6.125","True","False","418","374","13250","31.699","90"
"octoreflex/cmd/octoreflex-sim/main.go","octoreflex","octoreflex\cmd\octoreflex-sim","main.go",".go","6510","6.357","2026-03-29T00:58:40.6057629Z","6.125","True","False","198","176","5620","28.384","90"
