"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"project_ai/__init__.py","project_ai","project_ai","__init__.py",".py","501","0.489","2026-04-01T15:28:03.9014606Z","2.522","True","False","13","11","475","36.538","87"
"project_ai/main.py","project_ai","project_ai","main.py",".py","1917","1.872","2026-04-01T15:28:03.9420494Z","2.522","True","False","52","44","1807","34.75","87"
"project_ai/README.md","project_ai","project_ai","README.md",".md","11111","10.851","2026-04-01T15:28:03.8994457Z","2.522","True","False","429","294","10039","23.401","304"
"project_ai/showcase.py","project_ai","project_ai","showcase.py",".py","10803","10.55","2026-04-01T15:28:03.9821395Z","2.522","True","False","291","248","10221","35.124","98"
"project_ai/engine/__init__.py","project_ai","project_ai\engine","__init__.py",".py","5718","5.584","2026-04-01T15:28:03.9039141Z","2.522","True","False","170","139","5374","31.612","84"
"project_ai/engine/agents/__init__.py","project_ai","project_ai\engine\agents","__init__.py",".py","251","0.245","2026-04-01T15:28:03.9059257Z","2.522","True","False","7","5","237","33.857","63"
"project_ai/engine/agents/agent_coordinator.py","project_ai","project_ai\engine\agents","agent_coordinator.py",".py","1846","1.803","2026-04-01T15:28:03.9069237Z","2.522","True","False","57","46","1732","30.386","76"
"project_ai/engine/capabilities/__init__.py","project_ai","project_ai\engine\capabilities","__init__.py",".py","260","0.254","2026-04-01T15:28:03.9094418Z","2.522","True","False","7","5","246","35.143","63"
"project_ai/engine/capabilities/capability_invoker.py","project_ai","project_ai\engine\capabilities","capability_invoker.py",".py","6947","6.784","2026-04-01T15:28:03.9104535Z","2.522","True","False","204","178","6539","32.054","88"
"project_ai/engine/cognition/__init__.py","project_ai","project_ai\engine\cognition","__init__.py",".py","260","0.254","2026-04-01T15:28:03.9115924Z","2.522","True","False","7","5","246","35.143","63"
"project_ai/engine/cognition/deliberation_engine.py","project_ai","project_ai\engine\cognition","deliberation_engine.py",".py","4673","4.563","2026-04-01T15:28:03.9135945Z","2.522","True","False","158","131","4357","27.576","86"
"project_ai/engine/identity/__init__.py","project_ai","project_ai\engine\identity","__init__.py",".py","250","0.244","2026-04-01T15:28:03.9145918Z","2.522","True","False","7","5","236","33.714","63"
"project_ai/engine/identity/identity_manager.py","project_ai","project_ai\engine\identity","identity_manager.py",".py","2536","2.477","2026-04-01T15:28:03.9165913Z","2.522","True","False","84","69","2368","28.19","79"
"project_ai/engine/io/__init__.py","project_ai","project_ai\engine\io","__init__.py",".py","223","0.218","2026-04-01T15:28:03.9175934Z","2.522","True","False","7","5","209","29.857","63"
"project_ai/engine/io/io_router.py","project_ai","project_ai\engine\io","io_router.py",".py","1229","1.2","2026-04-01T15:28:03.9185943Z","2.522","True","False","49","36","1131","23.082","67"
"project_ai/engine/policy/__init__.py","project_ai","project_ai\engine\policy","__init__.py",".py","239","0.233","2026-04-01T15:28:03.9206781Z","2.522","True","False","7","5","225","32.143","63"
"project_ai/engine/policy/policy_engine.py","project_ai","project_ai\engine\policy","policy_engine.py",".py","2556","2.496","2026-04-01T15:28:03.9222233Z","2.522","True","False","84","70","2388","28.429","83"
"project_ai/engine/skills/__init__.py","project_ai","project_ai\engine\skills","__init__.py",".py","1083","1.058","2026-04-01T15:28:03.9247451Z","2.522","True","False","30","24","1021","34.033","77"
"project_ai/engine/skills/forensics.py","project_ai","project_ai\engine\skills","forensics.py",".py","962","0.939","2026-04-01T15:28:03.9257564Z","2.522","True","False","28","23","906","32.357","86"
"project_ai/engine/skills/sigma_rules.py","project_ai","project_ai\engine\skills","sigma_rules.py",".py","849","0.829","2026-04-01T15:28:03.9277571Z","2.522","True","False","28","23","793","28.321","78"
"project_ai/engine/skills/skill_manager.py","project_ai","project_ai\engine\skills","skill_manager.py",".py","12340","12.051","2026-04-03T19:11:28.2144667Z","0.366","True","False","348","284","11116","31.943","87"
"project_ai/engine/skills/skill.py","project_ai","project_ai\engine\skills","skill.py",".py","8419","8.222","2026-04-03T19:11:28.2134370Z","0.366","True","False","238","194","7653","32.155","83"
"project_ai/engine/state/__init__.py","project_ai","project_ai\engine\state","__init__.py",".py","238","0.232","2026-04-01T15:28:03.9344749Z","2.522","True","False","7","5","224","32","63"
"project_ai/engine/state/state_manager.py","project_ai","project_ai\engine\state","state_manager.py",".py","1681","1.642","2026-04-01T15:28:03.9365288Z","2.522","True","False","68","51","1545","22.721","89"
"project_ai/engine/workflow/__init__.py","project_ai","project_ai\engine\workflow","__init__.py",".py","247","0.241","2026-04-01T15:28:03.9375408Z","2.522","True","False","7","5","233","33.286","63"
"project_ai/engine/workflow/workflow_engine.py","project_ai","project_ai\engine\workflow","workflow_engine.py",".py","2547","2.487","2026-04-01T15:28:03.9405412Z","2.522","True","False","87","73","2373","27.276","85"
"project_ai/orchestrator/__init__.py","project_ai","project_ai\orchestrator","__init__.py",".py","465","0.454","2026-04-01T15:28:03.9450614Z","2.522","True","False","10","8","445","44.5","87"
"project_ai/orchestrator/boot_sequence.py","project_ai","project_ai\orchestrator","boot_sequence.py",".py","4978","4.861","2026-04-01T15:28:03.9480610Z","2.522","True","False","130","113","4710","36.231","87"
"project_ai/orchestrator/health_monitor.py","project_ai","project_ai\orchestrator","health_monitor.py",".py","2287","2.233","2026-04-01T15:28:03.9500608Z","2.522","True","False","71","58","2145","30.211","76"
"project_ai/orchestrator/subsystems/__init__.py","project_ai","project_ai\orchestrator\subsystems","__init__.py",".py","636","0.621","2026-04-01T15:28:03.9620788Z","2.522","True","False","17","15","602","35.412","63"
"project_ai/orchestrator/subsystems/cerberus_integration.py","project_ai","project_ai\orchestrator\subsystems","cerberus_integration.py",".py","4332","4.23","2026-04-01T15:28:03.9660798Z","2.522","True","False","129","106","4072","31.566","88"
"project_ai/orchestrator/subsystems/monolith_integration.py","project_ai","project_ai\orchestrator\subsystems","monolith_integration.py",".py","3249","3.173","2026-04-01T15:28:03.9685903Z","2.522","True","False","98","81","3049","31.112","87"
"project_ai/orchestrator/subsystems/thirsty_lang_integration.py","project_ai","project_ai\orchestrator\subsystems","thirsty_lang_integration.py",".py","4125","4.028","2026-04-01T15:28:03.9706044Z","2.522","True","False","117","97","3889","33.239","85"
"project_ai/orchestrator/subsystems/triumvirate_integration.py","project_ai","project_ai\orchestrator\subsystems","triumvirate_integration.py",".py","2633","2.571","2026-04-01T15:28:03.9716031Z","2.522","True","False","71","58","2489","35.056","87"
"project_ai/orchestrator/subsystems/waterfall_integration.py","project_ai","project_ai\orchestrator\subsystems","waterfall_integration.py",".py","4027","3.933","2026-04-01T15:28:03.9736022Z","2.522","True","False","114","94","3791","33.254","83"
"project_ai/save_points/__init__.py","project_ai","project_ai\save_points","__init__.py",".py","388","0.379","2026-04-01T15:28:03.9746022Z","2.522","True","False","8","6","372","46.5","83"
"project_ai/save_points/auto_save.py","project_ai","project_ai\save_points","auto_save.py",".py","2891","2.823","2026-04-01T15:28:03.9781289Z","2.522","True","False","90","71","2711","30.122","85"
"project_ai/save_points/save_manager.py","project_ai","project_ai\save_points","save_manager.py",".py","7444","7.27","2026-04-01T15:28:03.9801367Z","2.522","True","False","235","189","6974","29.677","82"
"project_ai/tarl/__init__.py","project_ai","project_ai\tarl","__init__.py",".py","346","0.338","2026-04-01T15:28:03.9906606Z","2.522","True","False","12","9","322","26.833","72"
"project_ai/tarl/integrations/__init__.py","project_ai","project_ai\tarl\integrations","__init__.py",".py","5298","5.174","2026-04-01T15:28:03.9946613Z","2.522","True","False","197","183","4904","24.893","77"
"project_ai/tarl/integrations/config_presets.py","project_ai","project_ai\tarl\integrations","config_presets.py",".py","15197","14.841","2026-04-01T15:28:03.9966608Z","2.522","True","False","441","381","14315","32.46","84"
"project_ai/tarl/integrations/golden_paths.py","project_ai","project_ai\tarl\integrations","golden_paths.py",".py","20010","19.541","2026-04-01T15:28:04.0027201Z","2.522","True","False","622","527","18766","30.17","95"
"project_ai/tarl/integrations/orchestration_extended.py","project_ai","project_ai\tarl\integrations","orchestration_extended.py",".py","37983","37.093","2026-04-01T15:28:04.0067214Z","2.522","True","False","1152","923","35629","30.928","88"
"project_ai/tarl/integrations/orchestration_governance.py","project_ai","project_ai\tarl\integrations","orchestration_governance.py",".py","36575","35.718","2026-04-01T15:28:04.0087232Z","2.522","True","False","1124","921","34295","30.512","98"
"project_ai/tarl/integrations/orchestration.py","project_ai","project_ai\tarl\integrations","orchestration.py",".py","49949","48.778","2026-04-01T15:28:04.0047218Z","2.522","True","False","1488","1190","46941","31.546","105"
"project_ai/utils/tscg_b.py","project_ai","project_ai\utils","tscg_b.py",".py","4198","4.1","2026-04-01T15:28:04.0253948Z","2.522","True","False","138","118","3910","28.333","83"
"project_ai/utils/tscg.py","project_ai","project_ai\utils","tscg.py",".py","4131","4.034","2026-04-01T15:28:04.0138836Z","2.522","True","False","133","111","3830","28.797","82"
