"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"src/__init__.py","src","src","__init__.py",".py","253","0.247","2026-04-01T15:28:04.4839604Z","2.522","True","False","7","6","239","34.143","74"
"src/block_pyqt6.py","src","src","block_pyqt6.py",".py","5669","5.536","2026-04-04T03:01:58.6809129Z","0.04","True","False","207","148","5255","25.386","79"
"src/README.md","src","src","README.md",".md","2930","2.861","2026-04-01T15:28:04.4795636Z","2.522","True","False","72","50","2746","38.139","171"
"src/ cerberus/sase/monitoring/prometheus.yml","src","src\ cerberus\sase\monitoring","prometheus.yml",".yml","955","0.933","2026-04-03T19:11:28.2200497Z","0.366","True","False","39","34","877","22.487","63"
"src/app/__init__.py","src","src\app","__init__.py",".py","149","0.146","2026-04-01T15:28:04.4861554Z","2.522","True","False","3","3","143","47.667","63"
"src/app/__main__.py","src","src\app","__main__.py",".py","770","0.752","2026-04-01T15:28:04.4939665Z","2.522","True","False","26","20","718","27.615","66"
"src/app/api_core.py","src","src\app","api_core.py",".py","9779","9.55","2026-04-04T03:01:58.6759160Z","0.04","True","False","300","231","9179","30.597","88"
"src/app/api_server.py","src","src\app","api_server.py",".py","4781","4.669","2026-04-04T03:01:58.6769130Z","0.04","True","False","164","119","4453","27.152","83"
"src/app/arch_ledger.thirsty","src","src\app","arch_ledger.thirsty",".thirsty","1543","1.507","2026-04-01T15:28:04.5986511Z","2.522","True","False","39","34","1229","31.513","78"
"src/app/bootstrap.thirsty","src","src\app","bootstrap.thirsty",".thirsty","2724","2.66","2026-04-01T15:28:04.6051705Z","2.522","True","False","68","58","2343","34.456","98"
"src/app/cli.py","src","src\app","cli.py",".py","30326","29.615","2026-04-01T15:28:04.6195206Z","2.522","True","False","948","738","28238","29.787","97"
"src/app/global_jurisdiction.thirsty","src","src\app","global_jurisdiction.thirsty",".thirsty","1749","1.708","2026-04-01T15:28:05.0217426Z","2.522","True","False","43","37","1427","33.186","117"
"src/app/main_headless_wrapper.py","src","src\app","main_headless_wrapper.py",".py","2165","2.114","2026-04-04T03:01:58.6799135Z","0.04","True","False","79","56","2007","25.405","90"
"src/app/main.py","src","src\app","main.py",".py","44512","43.469","2026-04-04T03:01:58.6789137Z","0.04","True","False","1154","949","41788","36.211","98"
"src/app/main.thirsty","src","src\app","main.thirsty",".thirsty","1948","1.902","2026-04-01T15:28:05.2225664Z","2.522","True","False","50","42","1608","32.16","92"
"src/app/users.json","src","src\app","users.json",".json","305","0.298","2026-03-29T00:58:39.6142374Z","6.125","True","False","10","10","285","28.5","111"
"src/app/ad_blocking/__init__.py","src","src\app\ad_blocking","__init__.py",".py","183","0.179","2026-04-01T15:28:04.4979672Z","2.522","True","False","3","3","177","59","63"
"src/app/ad_blocking/ad_database.py","src","src\app\ad_blocking","ad_database.py",".py","2534","2.475","2026-04-01T15:28:04.5030707Z","2.522","True","False","83","71","2368","28.53","79"
"src/app/ad_blocking/autoplay_killer.py","src","src\app\ad_blocking","autoplay_killer.py",".py","972","0.949","2026-04-01T15:28:04.5046880Z","2.522","True","False","34","27","904","26.588","63"
"src/app/ad_blocking/holy_war_engine.py","src","src\app\ad_blocking","holy_war_engine.py",".py","15637","15.271","2026-04-01T15:28:04.5071761Z","2.522","True","False","501","442","14635","29.212","87"
"src/app/ad_blocking/tracker_destroyer.py","src","src\app\ad_blocking","tracker_destroyer.py",".py","2459","2.401","2026-04-01T15:28:04.5095015Z","2.522","True","False","81","69","2297","28.358","66"
"src/app/agents/__init__.py","src","src\app\agents","__init__.py",".py","2079","2.03","2026-04-01T15:28:04.5133011Z","2.522","True","False","60","57","1959","32.65","77"
"src/app/agents/alpha_red.py","src","src\app\agents","alpha_red.py",".py","20210","19.736","2026-04-01T15:28:04.5178411Z","2.522","True","False","531","443","18516","34.87","88"
"src/app/agents/attack_train_loop.py","src","src\app\agents","attack_train_loop.py",".py","14183","13.851","2026-04-01T15:28:04.5203054Z","2.522","True","False","374","297","12764","34.128","87"
"src/app/agents/border_patrol.py","src","src\app\agents","border_patrol.py",".py","13647","13.327","2026-04-01T15:28:04.5213165Z","2.522","True","False","349","305","12949","37.103","107"
"src/app/agents/cerberus_codex_bridge.py","src","src\app\agents","cerberus_codex_bridge.py",".py","13802","13.479","2026-04-03T19:11:28.2210572Z","0.366","True","False","347","297","13108","37.775","98"
"src/app/agents/ci_checker_agent.py","src","src\app\agents","ci_checker_agent.py",".py","6101","5.958","2026-04-01T15:28:04.5250754Z","2.522","True","False","155","135","5791","37.361","101"
"src/app/agents/code_adversary_agent.py","src","src\app\agents","code_adversary_agent.py",".py","17784","17.367","2026-04-03T19:11:28.2220563Z","0.366","True","False","529","444","16726","31.618","124"
"src/app/agents/codex_deus_maximus.py","src","src\app\agents","codex_deus_maximus.py",".py","10621","10.372","2026-04-03T19:11:28.2230553Z","0.366","True","False","259","222","10081","38.923","95"
"src/app/agents/constitutional_guardrail_agent.py","src","src\app\agents","constitutional_guardrail_agent.py",".py","13474","13.158","2026-04-03T19:11:28.2241180Z","0.366","True","False","394","329","12686","32.198","120"
"src/app/agents/dependency_auditor.py","src","src\app\agents","dependency_auditor.py",".py","4252","4.152","2026-04-01T15:28:04.5504370Z","2.522","True","False","105","87","4042","38.495","109"
"src/app/agents/doc_generator.py","src","src\app\agents","doc_generator.py",".py","2642","2.58","2026-04-01T15:28:04.5520332Z","2.522","True","False","67","58","2508","37.433","80"
"src/app/agents/expert_agent.py","src","src\app\agents","expert_agent.py",".py","2468","2.41","2026-04-01T15:28:04.5531311Z","2.522","True","False","62","50","2344","37.806","94"
"src/app/agents/explainability.py","src","src\app\agents","explainability.py",".py","1820","1.777","2026-04-01T15:28:04.5542268Z","2.522","True","False","45","34","1730","38.444","78"
"src/app/agents/jailbreak_bench_agent.py","src","src\app\agents","jailbreak_bench_agent.py",".py","23916","23.355","2026-04-03T19:11:28.2251162Z","0.366","True","False","671","565","22574","33.642","122"
"src/app/agents/knowledge_curator.py","src","src\app\agents","knowledge_curator.py",".py","3384","3.305","2026-04-01T15:28:04.5609715Z","2.522","True","False","94","80","3196","34","77"
"src/app/agents/long_context_agent.py","src","src\app\agents","long_context_agent.py",".py","12061","11.778","2026-04-01T15:28:04.5620089Z","2.522","True","False","342","286","11377","33.266","117"
"src/app/agents/oversight.py","src","src\app\agents","oversight.py",".py","1772","1.73","2026-04-01T15:28:04.5640178Z","2.522","True","False","45","34","1682","37.378","78"
"src/app/agents/planner_agent.py","src","src\app\agents","planner_agent.py",".py","3092","3.02","2026-04-01T15:28:04.5661017Z","2.522","True","False","89","71","2914","32.742","78"
"src/app/agents/planner.py","src","src\app\agents","planner.py",".py","1075","1.05","2026-04-01T15:28:04.5651309Z","2.522","True","False","27","21","1021","37.815","78"
"src/app/agents/red_team_agent.py","src","src\app\agents","red_team_agent.py",".py","26434","25.814","2026-04-03T19:11:28.2251162Z","0.366","True","False","725","610","24984","34.461","89"
"src/app/agents/red_team_persona_agent.py","src","src\app\agents","red_team_persona_agent.py",".py","17730","17.314","2026-04-03T19:11:28.2270853Z","0.366","True","False","539","448","16652","30.894","103"
"src/app/agents/refactor_agent.py","src","src\app\agents","refactor_agent.py",".py","4675","4.565","2026-04-01T15:28:04.5715902Z","2.522","True","False","115","99","4445","38.652","106"
"src/app/agents/retrieval_agent.py","src","src\app\agents","retrieval_agent.py",".py","4081","3.985","2026-04-01T15:28:04.5726672Z","2.522","True","False","105","87","3871","36.867","81"
"src/app/agents/rollback_agent.py","src","src\app\agents","rollback_agent.py",".py","2559","2.499","2026-04-01T15:28:04.5742616Z","2.522","True","False","68","59","2423","35.632","86"
"src/app/agents/safety_guard_agent.py","src","src\app\agents","safety_guard_agent.py",".py","18275","17.847","2026-04-01T15:28:04.5758668Z","2.522","True","False","526","437","17223","32.743","86"
"src/app/agents/sandbox_runner.py","src","src\app\agents","sandbox_runner.py",".py","4538","4.432","2026-04-01T15:28:04.5769561Z","2.522","True","False","112","95","4314","38.518","99"
"src/app/agents/sandbox_worker.py","src","src\app\agents","sandbox_worker.py",".py","2583","2.522","2026-04-01T15:28:04.5789448Z","2.522","True","False","76","63","2431","31.987","95"
"src/app/agents/tarl_protector.py","src","src\app\agents","tarl_protector.py",".py","17554","17.143","2026-04-03T19:11:28.2280921Z","0.366","True","False","458","384","16638","36.328","110"
"src/app/agents/test_qa_generator.py","src","src\app\agents","test_qa_generator.py",".py","6902","6.74","2026-04-01T15:28:04.5820540Z","2.522","True","False","157","140","6588","41.962","158"
"src/app/agents/thirsty_lang_validator.py","src","src\app\agents","thirsty_lang_validator.py",".py","16083","15.706","2026-04-03T19:11:28.2296026Z","0.366","True","False","398","347","15283","38.399","119"
"src/app/agents/ux_telemetry.py","src","src\app\agents","ux_telemetry.py",".py","2342","2.287","2026-04-01T15:28:04.5852558Z","2.522","True","False","65","55","2212","34.031","75"
"src/app/agents/validator.py","src","src\app\agents","validator.py",".py","1768","1.727","2026-04-01T15:28:04.5862533Z","2.522","True","False","45","34","1678","37.289","78"
"src/app/agents/consigliere/__init__.py","src","src\app\agents\consigliere","__init__.py",".py","183","0.179","2026-04-01T15:28:04.5410837Z","2.522","True","False","3","3","177","59","63"
"src/app/agents/consigliere/action_ledger.py","src","src\app\agents\consigliere","action_ledger.py",".py","2053","2.005","2026-04-01T15:28:04.5426823Z","2.522","True","False","62","50","1929","31.113","82"
"src/app/agents/consigliere/capability_manager.py","src","src\app\agents\consigliere","capability_manager.py",".py","3197","3.122","2026-04-01T15:28:04.5445258Z","2.522","True","False","91","77","3015","33.132","85"
"src/app/agents/consigliere/privacy_checker.py","src","src\app\agents\consigliere","privacy_checker.py",".py","1473","1.438","2026-04-01T15:28:04.5463625Z","2.522","True","False","44","34","1385","31.477","79"
"src/app/agents/firewalls/__init__.py","src","src\app\agents\firewalls","__init__.py",".py","183","0.179","2026-04-01T15:28:04.5558722Z","2.522","True","False","3","3","177","59","63"
"src/app/agents/firewalls/thirsty_honeypot_swarm_defense.py","src","src\app\agents\firewalls","thirsty_honeypot_swarm_defense.py",".py","15429","15.067","2026-04-01T15:28:04.5576858Z","2.522","True","False","422","341","14585","34.562","88"
"src/app/ai/__init__.py","src","src\app\ai","__init__.py",".py","183","0.179","2026-04-01T15:28:04.5883270Z","2.522","True","False","3","3","177","59","63"
"src/app/ai/ai_engine.py","src","src\app\ai","ai_engine.py",".py","8358","8.162","2026-04-01T15:28:04.5903401Z","2.522","True","False","231","193","7896","34.182","99"
"src/app/ai/context_manager.py","src","src\app\ai","context_manager.py",".py","971","0.948","2026-04-01T15:28:04.5913382Z","2.522","True","False","32","25","907","28.344","64"
