"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"tarl/__init__.py","tarl","tarl","__init__.py",".py","1602","1.564","2026-04-01T15:28:06.0657394Z","2.522","True","False","42","35","1518","36.143","98"
"tarl/core.py","tarl","tarl","core.py",".py","1181","1.153","2026-04-01T15:28:06.0747821Z","2.522","True","False","39","31","1103","28.282","76"
"tarl/parser.py","tarl","tarl","parser.py",".py","842","0.822","2026-04-01T15:28:06.0897011Z","2.522","True","False","24","22","794","33.083","63"
"tarl/policy.py","tarl","tarl","policy.py",".py","487","0.476","2026-04-01T15:28:06.0971539Z","2.522","True","False","15","11","457","30.467","82"
"tarl/README.md","tarl","tarl","README.md",".md","2511","2.452","2026-04-01T15:28:06.0647405Z","2.522","True","False","90","61","2313","25.7","281"
"tarl/runtime.py","tarl","tarl","runtime.py",".py","9119","8.905","2026-04-01T15:28:06.0981633Z","2.522","True","False","249","209","8621","34.622","98"
"tarl/schema.json","tarl","tarl","schema.json",".json","144","0.141","2026-03-29T00:58:40.6724858Z","6.125","True","False","5","5","134","26.8","62"
"tarl/spec.py","tarl","tarl","spec.py",".py","556","0.543","2026-04-01T15:28:06.1049442Z","2.522","True","False","21","16","514","24.476","71"
"tarl/system.py","tarl","tarl","system.py",".py","13908","13.582","2026-04-01T15:28:06.1082048Z","2.522","True","False","404","324","13066","32.342","98"
"tarl/validate.py","tarl","tarl","validate.py",".py","461","0.45","2026-04-01T15:28:06.1153596Z","2.522","True","False","12","9","437","36.417","67"
"tarl/adapters/csharp/TARL.cs","tarl","tarl\adapters\csharp","TARL.cs",".cs","154","0.15","2026-03-29T00:58:40.6671162Z","6.125","True","False","8","8","138","17.25","35"
"tarl/adapters/go/tarl.go","tarl","tarl\adapters\go","tarl.go",".go","498","0.486","2026-03-29T00:58:40.6671162Z","6.125","True","False","19","17","460","24.211","70"
"tarl/adapters/java/TARL.java","tarl","tarl\adapters\java","TARL.java",".java","5719","5.585","2026-03-29T00:58:40.6671162Z","6.125","True","False","158","140","5403","34.196","105"
"tarl/adapters/javascript/index.js","tarl","tarl\adapters\javascript","index.js",".js","409","0.399","2026-03-29T00:58:40.6691216Z","6.125","True","False","14","14","381","27.214","76"
"tarl/adapters/rust/lib.rs","tarl","tarl\adapters\rust","lib.rs",".rs","521","0.509","2026-03-29T00:58:40.6691216Z","6.125","True","False","20","19","481","24.05","94"
"tarl/compiler/__init__.py","tarl","tarl\compiler","__init__.py",".py","12767","12.468","2026-04-01T15:28:06.0707704Z","2.522","True","False","412","319","11943","28.988","91"
"tarl/compiler/README.md","tarl","tarl\compiler","README.md",".md","2350","2.295","2026-04-01T15:28:06.0682508Z","2.522","True","False","111","79","1870","16.847","110"
"tarl/config/__init__.py","tarl","tarl\config","__init__.py",".py","11290","11.025","2026-04-01T15:28:06.0727851Z","2.522","True","False","364","299","10562","29.016","87"
"tarl/config/tarl.toml","tarl","tarl\config","tarl.toml",".toml","1191","1.163","2026-03-29T00:58:40.6719276Z","6.125","True","False","55","47","1081","19.655","63"
"tarl/diagnostics/__init__.py","tarl","tarl\diagnostics","__init__.py",".py","10874","10.619","2026-04-01T15:28:06.0768078Z","2.522","True","False","377","308","10120","26.844","87"
"tarl/docs/ARCHITECTURE.md","tarl","tarl\docs","ARCHITECTURE.md",".md","4861","4.747","2026-04-01T15:28:06.0778069Z","2.522","True","False","170","117","4477","26.335","309"
"tarl/docs/WHITEPAPER.md","tarl","tarl\docs","WHITEPAPER.md",".md","5174","5.053","2026-04-01T15:28:06.0788048Z","2.522","True","False","153","101","4862","31.778","447"
"tarl/ffi/__init__.py","tarl","tarl\ffi","__init__.py",".py","4678","4.568","2026-04-01T15:28:06.0811097Z","2.522","True","False","154","115","4370","28.377","98"
"tarl/fuzz/__init__.py","tarl","tarl\fuzz","__init__.py",".py","155","0.151","2026-04-01T15:28:06.0821095Z","2.522","True","False","3","3","149","49.667","63"
"tarl/fuzz/fuzz_tarl.py","tarl","tarl\fuzz","fuzz_tarl.py",".py","702","0.686","2026-04-01T15:28:06.0847662Z","2.522","True","False","25","18","652","26.08","63"
"tarl/modules/__init__.py","tarl","tarl\modules","__init__.py",".py","4874","4.76","2026-04-01T15:28:06.0891940Z","2.522","True","False","167","127","4540","27.186","98"
"tarl/policies/__init__.py","tarl","tarl\policies","__init__.py",".py","246","0.24","2026-04-01T15:28:06.0930675Z","2.522","True","False","7","5","232","33.143","63"
"tarl/policies/default.py","tarl","tarl\policies","default.py",".py","1071","1.046","2026-04-01T15:28:06.0950793Z","2.522","True","False","30","24","1011","33.7","73"
"tarl/runtime/__init__.py","tarl","tarl\runtime","__init__.py",".py","11894","11.615","2026-04-01T15:28:06.1027707Z","2.522","True","False","338","276","11218","33.189","92"
"tarl/runtime/README.md","tarl","tarl\runtime","README.md",".md","2768","2.703","2026-04-01T15:28:06.1007109Z","2.522","True","False","112","79","2120","18.929","103"
"tarl/stdlib/__init__.py","tarl","tarl\stdlib","__init__.py",".py","6603","6.448","2026-04-01T15:28:06.1065397Z","2.522","True","False","218","176","6167","28.289","98"
"tarl/tests/test_tarl_integration.py","tarl","tarl\tests","test_tarl_integration.py",".py","12609","12.313","2026-04-01T15:28:06.1107693Z","2.522","True","False","389","299","11831","30.414","82"
"tarl/tooling/__init__.py","tarl","tarl\tooling","__init__.py",".py","7194","7.025","2026-04-01T15:28:06.1129546Z","2.522","True","False","221","174","6752","30.552","98"
