"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"tarl_os/bridge.py","tarl_os","tarl_os","bridge.py",".py","9296","9.078","2026-04-01T15:28:06.1381053Z","2.522","True","False","266","212","8746","32.88","88"
"tarl_os/GOD_TIER_IMPLEMENTATION_COMPLETE.md","tarl_os","tarl_os","GOD_TIER_IMPLEMENTATION_COMPLETE.md",".md","24401","23.829","2026-04-01T15:28:06.1168934Z","2.522","True","False","798","613","20569","25.776","251"
"tarl_os/IMPLEMENTATION_COMPLETE.md","tarl_os","tarl_os","IMPLEMENTATION_COMPLETE.md",".md","17030","16.631","2026-04-01T15:28:06.1198935Z","2.522","True","False","557","430","14412","25.874","176"
"tarl_os/README.md","tarl_os","tarl_os","README.md",".md","8972","8.762","2026-04-01T15:28:06.1228962Z","2.522","True","False","315","227","8022","25.467","136"
"tarl_os/SUMMARY.txt","tarl_os","tarl_os","SUMMARY.txt",".txt","10920","10.664","2026-03-29T00:58:40.6724858Z","6.125","True","False","334","279","10008","29.964","80"
"tarl_os/TARL_OS_COMPLETE_IMPLEMENTATION_REPORT.md","tarl_os","tarl_os","TARL_OS_COMPLETE_IMPLEMENTATION_REPORT.md",".md","24444","23.871","2026-04-01T15:28:06.1254510Z","2.522","True","False","701","550","19192","27.378","293"
"tarl_os/ai_orchestration/feature_store.thirsty","tarl_os","tarl_os\ai_orchestration","feature_store.thirsty",".thirsty","22618","22.088","2026-04-01T15:28:06.1274635Z","2.522","True","False","797","660","21024","26.379","98"
"tarl_os/ai_orchestration/inference.thirsty","tarl_os","tarl_os\ai_orchestration","inference.thirsty",".thirsty","19547","19.089","2026-04-01T15:28:06.1284669Z","2.522","True","False","679","576","18189","26.788","115"
"tarl_os/ai_orchestration/orchestrator.thirsty","tarl_os","tarl_os\ai_orchestration","orchestrator.thirsty",".thirsty","11025","10.767","2026-04-01T15:28:06.1310270Z","2.522","True","False","437","343","10151","23.229","99"
"tarl_os/api/graphql.thirsty","tarl_os","tarl_os\api","graphql.thirsty",".thirsty","24231","23.663","2026-04-01T15:28:06.1330709Z","2.522","True","False","895","751","22441","25.074","90"
"tarl_os/api/grpc.thirsty","tarl_os","tarl_os\api","grpc.thirsty",".thirsty","20787","20.3","2026-04-01T15:28:06.1342018Z","2.522","True","False","744","634","19299","25.94","103"
"tarl_os/api/rest.thirsty","tarl_os","tarl_os\api","rest.thirsty",".thirsty","10433","10.188","2026-04-01T15:28:06.1362550Z","2.522","True","False","404","327","9625","23.824","102"
"tarl_os/config/registry.thirsty","tarl_os","tarl_os\config","registry.thirsty",".thirsty","11354","11.088","2026-04-01T15:28:06.1391796Z","2.522","True","False","441","343","10472","23.746","97"
"tarl_os/deployment/cicd.thirsty","tarl_os","tarl_os\deployment","cicd.thirsty",".thirsty","18407","17.976","2026-04-01T15:28:06.1407644Z","2.522","True","False","661","540","17085","25.847","95"
"tarl_os/deployment/orchestrator.thirsty","tarl_os","tarl_os\deployment","orchestrator.thirsty",".thirsty","16132","15.754","2026-04-01T15:28:06.1423802Z","2.522","True","False","557","427","15010","26.948","99"
"tarl_os/deployment/update.thirsty","tarl_os","tarl_os\deployment","update.thirsty",".thirsty","18958","18.514","2026-04-01T15:28:06.1439897Z","2.522","True","False","639","520","17680","27.668","110"
"tarl_os/io_layer/devices.thirsty","tarl_os","tarl_os\io_layer","devices.thirsty",".thirsty","15552","15.188","2026-04-01T15:28:06.1456341Z","2.522","True","False","609","499","14334","23.537","95"
"tarl_os/io_layer/filesystem.thirsty","tarl_os","tarl_os\io_layer","filesystem.thirsty",".thirsty","16322","15.939","2026-04-01T15:28:06.1461688Z","2.522","True","False","627","511","15068","24.032","88"
"tarl_os/io_layer/network.thirsty","tarl_os","tarl_os\io_layer","network.thirsty",".thirsty","17000","16.602","2026-04-01T15:28:06.1476869Z","2.522","True","False","614","502","15772","25.687","87"
"tarl_os/kernel/memory.thirsty","tarl_os","tarl_os\kernel","memory.thirsty",".thirsty","9493","9.271","2026-04-01T15:28:06.1486969Z","2.522","True","False","326","258","8841","27.12","139"
"tarl_os/kernel/scheduler.thirsty","tarl_os","tarl_os\kernel","scheduler.thirsty",".thirsty","6843","6.683","2026-04-01T15:28:06.1506974Z","2.522","True","False","254","204","6335","24.941","119"
"tarl_os/observability/alerting.thirsty","tarl_os","tarl_os\observability","alerting.thirsty",".thirsty","24746","24.166","2026-04-01T15:28:06.1522093Z","2.522","True","False","951","790","22844","24.021","105"
"tarl_os/observability/logging.thirsty","tarl_os","tarl_os\observability","logging.thirsty",".thirsty","22101","21.583","2026-04-01T15:28:06.1537258Z","2.522","True","False","855","701","20391","23.849","92"
"tarl_os/observability/telemetry.thirsty","tarl_os","tarl_os\observability","telemetry.thirsty",".thirsty","11316","11.051","2026-04-01T15:28:06.1547263Z","2.522","True","False","425","333","10462","24.616","85"
"tarl_os/observability/tracing.thirsty","tarl_os","tarl_os\observability","tracing.thirsty",".thirsty","20809","20.321","2026-04-01T15:28:06.1567299Z","2.522","True","False","803","667","19203","23.914","91"
