"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"tools/benchmark-optimized.js","tools","tools","benchmark-optimized.js",".js","5838","5.701","2026-03-29T00:58:45.0391738Z","6.125","True","False","172","142","4974","28.919","100"
"tools/check_large_files_for_lfs.py","tools","tools","check_large_files_for_lfs.py",".py","2998","2.928","2026-04-01T15:28:06.9042052Z","2.521","True","False","90","71","2818","31.311","98"
"tools/count_parametrize_cases.py","tools","tools","count_parametrize_cases.py",".py","1032","1.008","2026-04-01T15:28:06.9072042Z","2.521","True","False","38","30","956","25.158","63"
"tools/enhanced_secret_scan.py","tools","tools","enhanced_secret_scan.py",".py","10384","10.141","2026-04-01T15:28:06.9092059Z","2.521","True","False","340","285","9688","28.494","88"
"tools/fix_whitespace.py","tools","tools","fix_whitespace.py",".py","1534","1.498","2026-04-01T15:28:06.9102034Z","2.521","True","False","57","43","1420","24.912","87"
"tools/generate_full_manifest.py","tools","tools","generate_full_manifest.py",".py","5944","5.805","2026-04-04T03:01:58.6869134Z","0.04","True","False","154","132","5636","36.597","106"
"tools/import_test.py","tools","tools","import_test.py",".py","677","0.661","2026-04-01T15:28:06.9114576Z","2.521","True","False","24","22","629","26.208","63"
"tools/install_dev_tools.sh","tools","tools","install_dev_tools.sh",".sh","474","0.463","2026-03-29T00:58:45.0550830Z","6.125","True","False","13","10","448","34.462","114"
"tools/launch-dev-ui.bat","tools","tools","launch-dev-ui.bat",".bat","1328","1.297","2026-03-29T00:58:45.0606481Z","6.125","True","False","37","32","1261","34.081","114"
"tools/merge_fourlaws_artifacts.py","tools","tools","merge_fourlaws_artifacts.py",".py","2179","2.128","2026-04-03T19:11:28.4614684Z","0.366","True","False","74","61","2031","27.446","115"
"tools/prune_test_artifacts.py","tools","tools","prune_test_artifacts.py",".py","1692","1.652","2026-04-01T15:28:06.9139637Z","2.521","True","False","53","44","1586","29.925","88"
"tools/purge_git_secrets.ps1","tools","tools","purge_git_secrets.ps1",".ps1","6649","6.493","2026-03-29T00:58:45.0606481Z","6.125","True","False","130","117","6377","49.054","150"
"tools/purge_git_secrets.sh","tools","tools","purge_git_secrets.sh",".sh","5256","5.133","2026-03-29T00:58:45.0606481Z","6.125","True","False","137","124","4966","36.248","121"
"tools/README.md","tools","tools","README.md",".md","1912","1.867","2026-04-01T15:28:06.9016849Z","2.521","True","False","52","39","1806","34.731","91"
"tools/reflow_markdown.py","tools","tools","reflow_markdown.py",".py","5456","5.328","2026-04-01T15:28:06.9165049Z","2.521","True","False","176","142","5104","29","83"
"tools/regenerate_and_commit_fourlaws_report.ps1","tools","tools","regenerate_and_commit_fourlaws_report.ps1",".ps1","951","0.929","2026-03-29T00:58:45.0606481Z","6.125","True","False","26","21","899","34.577","118"
"tools/regenerate_fourlaws_report.ps1","tools","tools","regenerate_fourlaws_report.ps1",".ps1","1387","1.354","2026-03-29T00:58:45.0606481Z","6.125","True","False","45","36","1297","28.822","96"
"tools/run_security_audit.sh","tools","tools","run_security_audit.sh",".sh","7668","7.488","2026-03-29T00:58:45.0606481Z","6.125","True","False","186","169","5952","32","95"
"tools/secret_scan.py","tools","tools","secret_scan.py",".py","1554","1.518","2026-04-01T15:28:06.9197105Z","2.521","True","False","54","42","1446","26.778","88"
"tools/SECURITY_SCANNING.md","tools","tools","SECURITY_SCANNING.md",".md","10067","9.831","2026-04-01T15:28:06.9032038Z","2.521","True","False","499","310","9019","18.074","157"
"tools/setup_designer_env.bat","tools","tools","setup_designer_env.bat",".bat","4816","4.703","2026-03-29T00:58:45.0606481Z","6.125","True","False","142","127","4532","31.915","109"
"tools/setup_designer_env.ps1","tools","tools","setup_designer_env.ps1",".ps1","4451","4.347","2026-03-29T00:58:45.0606481Z","6.125","True","False","108","95","4235","39.213","114"
"tools/simulate_defensive_tests.py","tools","tools","simulate_defensive_tests.py",".py","6404","6.254","2026-04-01T15:28:06.9207213Z","2.521","True","False","199","174","6006","30.181","162"
