"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"utils/__init__.py","utils","utils","__init__.py",".py","966","0.943","2026-04-01T15:28:07.8589746Z","2.521","True","False","41","37","884","21.561","88"
"utils/helpers.py","utils","utils","helpers.py",".py","1639","1.601","2026-04-01T15:28:07.8668901Z","2.521","True","False","72","53","1495","20.764","76"
"utils/logger.py","utils","utils","logger.py",".py","1500","1.465","2026-04-01T15:28:07.8682089Z","2.521","True","False","55","43","1390","25.273","68"
"utils/README.md","utils","utils","README.md",".md","1089","1.063","2026-04-01T15:28:07.8569754Z","2.521","True","False","32","23","1017","31.781","114"
"utils/validators.py","utils","utils","validators.py",".py","3382","3.303","2026-04-01T15:28:07.8747299Z","2.521","True","False","152","109","3078","20.25","87"
"utils/encryption/__init__.py","utils","utils\encryption","__init__.py",".py","183","0.179","2026-04-01T15:28:07.8589746Z","2.521","True","False","3","3","177","59","63"
"utils/encryption/doh_resolver.py","utils","utils\encryption","doh_resolver.py",".py","1576","1.539","2026-04-01T15:28:07.8612456Z","2.521","True","False","55","42","1466","26.655","63"
"utils/encryption/encrypted_logging.py","utils","utils\encryption","encrypted_logging.py",".py","2781","2.716","2026-04-01T15:28:07.8623183Z","2.521","True","False","93","74","2595","27.903","68"
"utils/encryption/encrypted_network.py","utils","utils\encryption","encrypted_network.py",".py","3531","3.448","2026-04-01T15:28:07.8639307Z","2.521","True","False","113","89","3305","29.248","88"
"utils/encryption/god_tier_encryption.py","utils","utils\encryption","god_tier_encryption.py",".py","13441","13.126","2026-04-01T15:28:07.8650090Z","2.521","True","False","374","304","12693","33.939","88"
"utils/storage/__init__.py","utils","utils\storage","__init__.py",".py","183","0.179","2026-04-01T15:28:07.8692962Z","2.521","True","False","3","3","177","59","63"
"utils/storage/ephemeral_storage.py","utils","utils\storage","ephemeral_storage.py",".py","3231","3.155","2026-04-01T15:28:07.8703801Z","2.521","True","False","103","80","3025","29.369","84"
"utils/storage/privacy_vault.py","utils","utils\storage","privacy_vault.py",".py","3804","3.715","2026-04-01T15:28:07.8725499Z","2.521","True","False","120","93","3564","29.7","85"
