"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"workspace/.git_workspace_nested_backup/COMMIT_EDITMSG","workspace","workspace\.git_workspace_nested_backup","COMMIT_EDITMSG","[no-ext]","25","0.024","2026-03-31T20:53:48.8278114Z","3.295","True","False","1","1","24","24","24"
"workspace/.git_workspace_nested_backup/config","workspace","workspace\.git_workspace_nested_backup","config","[no-ext]","177","0.173","2026-04-01T19:47:56.9269502Z","2.341","True","False","9","9","168","18.667","37"
"workspace/.git_workspace_nested_backup/description","workspace","workspace\.git_workspace_nested_backup","description","[no-ext]","73","0.071","2026-03-31T20:53:28.6646678Z","3.296","True","False","1","1","72","72","72"
"workspace/.git_workspace_nested_backup/HEAD","workspace","workspace\.git_workspace_nested_backup","HEAD","[no-ext]","23","0.022","2026-03-31T20:53:28.7639896Z","3.296","True","False","1","1","22","22","22"
"workspace/.git_workspace_nested_backup/index","workspace","workspace\.git_workspace_nested_backup","index","[no-ext]","178","0.174","2026-04-01T19:48:01.5650409Z","2.341","False","True",,,,,
"workspace/.git_workspace_nested_backup/gk/config","workspace","workspace\.git_workspace_nested_backup\gk","config","[no-ext]","63","0.062","2026-04-03T19:03:37.4704366Z","0.372","True","False","2","2","61","30.5","44"
"workspace/.git_workspace_nested_backup/hooks/applypatch-msg.sample","workspace","workspace\.git_workspace_nested_backup\hooks","applypatch-msg.sample",".sample","478","0.467","2026-03-31T20:53:28.6348885Z","3.296","True","False","15","14","463","30.867","66"
"workspace/.git_workspace_nested_backup/hooks/commit-msg.sample","workspace","workspace\.git_workspace_nested_backup\hooks","commit-msg.sample",".sample","896","0.875","2026-03-31T20:53:28.6486597Z","3.296","True","False","24","21","872","36.333","78"
"workspace/.git_workspace_nested_backup/hooks/fsmonitor-watchman.sample","workspace","workspace\.git_workspace_nested_backup\hooks","fsmonitor-watchman.sample",".sample","4726","4.615","2026-03-31T20:53:28.5913065Z","3.296","True","False","174","143","4552","26.161","102"
"workspace/.git_workspace_nested_backup/hooks/post-update.sample","workspace","workspace\.git_workspace_nested_backup\hooks","post-update.sample",".sample","189","0.185","2026-03-31T20:53:28.6293757Z","3.296","True","False","8","7","181","22.625","68"
"workspace/.git_workspace_nested_backup/hooks/pre-applypatch.sample","workspace","workspace\.git_workspace_nested_backup\hooks","pre-applypatch.sample",".sample","424","0.414","2026-03-31T20:53:28.6086244Z","3.296","True","False","14","13","410","29.286","64"
"workspace/.git_workspace_nested_backup/hooks/pre-commit.sample","workspace","workspace\.git_workspace_nested_backup\hooks","pre-commit.sample",".sample","1649","1.61","2026-03-31T20:53:28.6441434Z","3.296","True","False","49","40","1600","32.653","75"
"workspace/.git_workspace_nested_backup/hooks/pre-merge-commit.sample","workspace","workspace\.git_workspace_nested_backup\hooks","pre-merge-commit.sample",".sample","416","0.406","2026-03-31T20:53:28.6035090Z","3.296","True","False","13","12","403","31","67"
"workspace/.git_workspace_nested_backup/hooks/pre-push.sample","workspace","workspace\.git_workspace_nested_backup\hooks","pre-push.sample",".sample","1374","1.342","2026-03-31T20:53:28.6186822Z","3.296","True","False","53","47","1321","24.925","79"
