"Extension","FileCount","TextFileCount","BinaryFileCount","TotalBytes","TotalMiB","TotalLOC","TotalNonEmptyLOC"
".py","24799","24799","0","336879319","321.273","9432725","7905068"
".js","14360","14360","0","189818426","181.025","2770122","2625890"
".json","10351","10351","0","312130380","297.671","1762314","1761668"
"[no-ext]","4851","3635","1216","16329539","15.573","281007","247227"
".ts","4849","4849","0","16225816","15.474","384516","364035"
".map","3398","3398","0","84956901","81.021","4320","4320"
".md","3065","3062","3","71418232","68.11","995591","802592"
".png","2438","0","2438","8290367","7.906",,
".pyi","2029","2029","0","16554913","15.788","425669","385731"
".gz","2016","0","2016","27653576","26.373",,
".qml","1684","1684","0","7117588","6.788","176332","151710"
".sip","1491","1491","0","6229484","5.941","190810","167090"
".cjs","1469","1469","0","4711166","4.493","123593","112842"
".cts","1351","1351","0","1067850","1.018","29050","28471"
".txt","744","741","3","23954500","22.845","566159","481105"
".pyd","629","0","629","228065551","217.5",,
".so","477","0","477","319777065","304.963",,
".rs","435","435","0","7816847","7.455","212097","195984"
".qm","434","0","434","20909088","19.94",,
".h","406","406","0","3417084","3.259","86086","74496"
".jpg","294","15","279","17011960","16.224","0","0"
".pyc","278","0","278","4609582","4.396",,
".typed","270","270","0","2686","0.003","65","63"
".dll","265","0","265","260740203","248.661",,
".yml","262","262","0","817371","0.78","23379","20326"
".tcl","253","253","0","1997093","1.905","67528","59271"
".yaml","237","237","0","2031215","1.937","56517","54430"
".mjs","220","220","0","6250850","5.961","86586","82416"
".mat","220","0","220","140306","0.134",,
".c","218","218","0","6436121","6.138","157063","148854"
".lib","171","0","171","1676794","1.599",,
".pyx","165","165","0","4651294","4.436","107760","87952"
".proto","165","165","0","1588254","1.515","35429","31323"
".msg","145","145","0","197188","0.188","5084","5069"
".exe","141","0","141","51866608","49.464",,
".qmltypes","125","125","0","4716273","4.498","154648","154398"
".f90","121","121","0","59338","0.057","2449","2188"
".pxd","120","120","0","872415","0.832","14917","13071"
".afm","120","120","0","2707568","2.582","94512","91860"
".a","117","0","117","307194","0.293",,
".toml","111","111","0","150820","0.144","5135","4677"
".eslintrc","111","111","0","28588","0.027","1894","1657"
".sh","100","100","0","515547","0.492","15912","13428"
".nycrc","98","98","0","16340","0.016","1020","1020"
".6","96","0","96","121322256","115.702",,
".sav","94","0","94","423806","0.404",,
".class","86","0","86","171742","0.164",,
".thirsty","85","85","0","517360","0.493","18131","14871"
".enc","80","80","0","1536741","1.466","24865","24865"
".csv","79","79","0","28672713","27.344","309753","309753"
".ps1","78","72","6","6850786","6.533","24538","20342"
".ttf","77","0","77","13854300","13.212",,
".npy","64","0","64","922276","0.88",,
".rst","60","60","0","192426","0.184","4717","3680"
".cs","59","58","1","1959616","1.869","24154","21889"
".mplstyle","58","58","0","76698","0.073","2154","1888"
".mts","56","56","0","189831","0.181","6276","5508"
".dat","56","26","30","3772225","3.597","121830","121060"
".cpp","53","53","0","940802","0.897","33243","28696"
".build","52","52","0","76556","0.073","2311","2063"
".xml","51","50","1","2237405","2.134","46651","44544"
".xbm","50","50","0","25240","0.024","447","447"
".editorconfig","50","50","0","13954","0.013","895","725"
".npz","50","0","50","7665508","7.31",,
".html","49","49","0","1269840","1.211","22468","20516"
".tp","48","48","0","941056","0.897","26180","22056"
".f","48","48","0","22180","0.021","968","910"
".puml","47","47","0","67588","0.064","2253","1879"
".bin","46","2","44","681205","0.65","2","2"
".svg","45","45","0","220832","0.211","8902","8902"
".wav","44","0","44","144452","0.138",,
".meta","43","43","0","11588","0.011","492","453"
".gif","41","0","41","9268615","8.839",,
".gitignore","38","38","0","27351","0.026","1969","1664"
".lock","38","21","17","412685","0.394","11612","10528"
".git","34","34","0","2893","0.003","33","33"
".css","34","34","0","255794","0.244","10470","8619"
".go","33","33","0","291844","0.278","8860","7742"
".arff","32","32","0","421052","0.402","820","750"
".tsx","30","30","0","261295","0.249","4545","4206"
".bat","28","28","0","43860","0.042","1417","1215"
".hpp","28","28","0","231688","0.221","7096","6046"
".jst","25","25","0","50043","0.048","1851","1612"
".xpm","24","24","0","27588","0.026","785","785"
".mako","24","24","0","53942","0.051","1748","1398"
".pdf","23","6","17","256880","0.245","424","422"
".bsd","22","22","0","29648","0.028","502","418"
".pkl","22","0","22","18774","0.018",,
".stderr","22","22","0","6796","0.006","156","154"
".log","21","12","9","398574","0.38","203","203"
".example","20","20","0","19427","0.019","722","597"
".0","18","1","17","18564928","17.705","2","2"
".apache","18","18","0","185504","0.177","3236","2738"
".properties","17","17","0","6510","0.006","114","90"
".vbs","17","16","1","51599","0.049","1450","1235"
".kt","17","17","0","67136","0.064","1866","1699"
".tpl","17","17","0","20593","0.02","645","613"
".cna","17","17","0","738719","0.704","14296","13052"
".cfg","17","15","2","13052","0.012","535","426"
".jsonl","16","16","0","5794682","5.526","14241","14241"
".metainfo","16","16","0","192567","0.184","6382","5590"
".sample","14","14","0","25827","0.025","868","752"
".pyf","14","14","0","4790","0.005","152","142"
".tarl","14","14","0","22139","0.021","751","605"
".java","13","13","0","233109","0.222","5058","4277"
".dockerignore","12","12","0","6421","0.006","699","607"
".test","11","11","0","34567","0.033","707","588"
".conf","11","11","0","57015","0.054","1349","1246"
".config","11","11","0","6443","0.006","102","96"
".sln","11","11","0","17470","0.017","352","341"
".bz2","10","0","10","10028","0.01",,
".pth","10","10","0","5369","0.005","10","10"
".npmignore","10","10","0","1702","0.002","112","100"
".tmpl","10","10","0","3361","0.003","98","91"
".tsbuildinfo","10","10","0","852996","0.813","10","10"
".xz","10","0","10","7440","0.007",,
".lzma","10","0","10","6934","0.007",,
".gzip","10","0","10","8186","0.008",,
".gitattributes","10","10","0","9293","0.009","218","186"
".def","9","9","0","35970","0.034","1103","998"
".fs","9","9","0","6796","0.006","207","176"
".csc","8","8","0","154024","0.147","2414","2206"
".woff2","8","0","8","175944","0.168",,
".tag","8","8","0","1244","0.001","20","20"
".tab","8","8","0","98464","0.094","2793","2793"
".mit","8","8","0","8458","0.008","164","138"
".markdown","8","8","0","41791","0.04","1289","972"
".pem","8","8","0","2161932","2.062","35582","34504"
".apache2","8","8","0","90864","0.087","1616","1352"
".csproj","8","8","0","25470","0.024","515","515"
".docx","7","0","7","114416","0.109",,
".bnf","7","7","0","4333","0.004","112","112"
".cc","7","7","0","171082","0.163","4306","4007"
".pxi","6","6","0","17154","0.016","445","372"
".tscgb","6","2","4","11137231","10.621","278","236"
".fsc","6","6","0","10871","0.01","248","217"
".user","6","6","0","1876","0.002","36","36"
".z","6","0","6","246","0",,
".node","6","0","6","291379632","277.881",,
".nc","6","0","6","6864","0.007",,
".whl","6","2","4","3319452","3.166","0","0"
".ini","6","6","0","1554","0.001","82","72"
".2","6","0","6","431547","0.412",,
".vcxproj","6","6","0","46303","0.044","944","944"
".tm","5","5","0","275033","0.262","8911","8077"
".msi","5","0","5","1323008","1.262",,
".babelrc","5","5","0","688","0.001","36","36"
".rb","5","5","0","36245","0.035","1262","1049"
".key","5","5","0","6927","0.007","111","111"
".xsd","5","5","0","29135","0.028","494","494"
".msgpack","5","0","5","7208","0.007",,
".cer","5","0","5","6747","0.006",,
".shadow","5","5","0","11244","0.011","385","333"
".1","5","5","0","31229","0.03","1089","1078"
".asm","4","4","0","6335","0.006","328","268"
".rkyv","4","0","4","1110544","1.059",,
".gradle","4","4","0","7246","0.007","229","192"
".coffee","4","4","0","2","0","2","0"
".f2py_f2cmap","4","4","0","224","0","4","4"
".sql","4","4","0","46075","0.044","1260","1038"
".frag","4","4","0","421","0","14","14"
".http","4","0","4","2234","0.002",,
".idx","4","4","0","1521838","1.451","79324","79324"
".in","4","4","0","3483","0.003","146","125"
".wxs","4","4","0","8556","0.008","180","135"
".filters","4","4","0","5323","0.005","138","138"
".tog","4","4","0","3699","0.004","117","101"
".3","4","0","4","33675848","32.116",,
".flow","4","4","0","525099","0.501","9550","8521"
".obj","4","0","4","3648","0.003",,
".73","3","0","3","39084760","37.274",,
".fish","3","3","0","8727","0.008","262","216"
".thirst","3","3","0","3089","0.003","106","87"
".ser","3","0","3","9346704","8.914",,
".wasm","3","0","3","1515708","1.445",,
".qss","3","3","0","11813","0.011","515","443"
".esprima","3","3","0","3693","0.004","57","51"
".pub","3","1","2","205428","0.196","3","3"
".closure-compiler","3","3","0","34074","0.032","606","507"
".php","3","3","0","28230","0.027","756","636"
".rels","3","3","0","1705","0.002","6","6"
".thirstyplus","3","3","0","2334","0.002","102","81"
".gitkeep","3","3","0","18","0","1","1"
".eslintignore","3","3","0","58","0","6","6"
".jshintrc","3","3","0","2308","0.002","97","96"
".code-workspace","3","3","0","4544","0.004","174","174"
".db","3","0","3","86016","0.082",,
".csh","3","3","0","4603","0.004","128","96"
".gitmodules","3","3","0","4059","0.004","101","100"
".asset","2","2","0","977","0.001","40","40"
".f95","2","2","0","283","0","10","10"
".crt","2","2","0","2224","0.002","36","36"
".mesh","2","0","2","257368","0.245",,
".mdown","2","2","0","4087","0.004","134","92"
".4","2","0","2","2049458","1.955",,
".keep","2","2","0","448","0","8","6"
".api","2","2","0","3496158","3.334","65148","65148"
".markdown-it","2","2","0","2146","0.002","44","38"
".sip5","2","2","0","43","0","2","2"
".kts","2","2","0","75376","0.072","1822","1436"
".snk","2","0","2","1192","0.001",,
".61","2","0","2","17583522","16.769",,
".fits","2","2","0","17280","0.016","2","2"
".ani","2","0","2","8724","0.008",,
".pc","2","2","0","389","0","14","12"
".lua","2","2","0","278","0","6","6"
".tla","2","2","0","3831","0.004","96","75"
".thrift","2","2","0","4242","0.004","110","96"
".thirstyplusplus","2","2","0","1432","0.001","56","42"
".template","2","2","0","3321","0.003","113","97"
".terms","2","2","0","4614","0.004","80","72"
".vc","2","2","0","64660","0.062","1967","1676"
".aiignore","2","2","0","170","0","4","4"
".thirstofgods","2","2","0","2582","0.002","102","78"
".xrc","2","2","0","4372","0.004","130","130"
".eps","2","2","0","64697","0.062","3988","3982"
".psf","2","2","0","4895","0.005","94","78"
".inc","2","2","0","33","0","2","2"
".doc","2","0","2","55808","0.053",,
".external","2","2","0","40432","0.039","776","630"
".xslt","2","2","0","8691","0.008","181","171"
".1-py3-none-any","2","2","0","64","0","2","2"
".env","2","2","0","7998","0.008","253","200"
".11","2","1","1","290","0","9","7"
".xsl","2","1","1","789","0.001","15","13"
".probe","2","0","2","16","0",,
".xls","2","0","2","54784","0.052",,
".17","2","0","2","549290","0.524",,
".prettierrc","2","2","0","455","0","23","23"
".inf","2","2","0","336","0","17","14"
".cmd","2","2","0","286","0","4","4"
".zi","2","2","0","214921","0.205","8598","8598"
".ico","2","0","2","61904","0.059",,
".iml","1","1","0","458","0","12","12"
".0-py3-none-any","1","1","0","32","0","1","1"
".htaccess","1","1","0","387","0","12","10"
".license","1","1","0","1061","0.001","20","17"
".legacy","1","1","0","1741","0.002","67","57"
".egg","1","0","1","843","0.001",,
".59","1","0","1","1120353","1.068",,
".empty","1","1","0","0","0","0","0"
".tscg","1","1","0","1452","0.001","38","33"
".5","1","0","1","124937","0.119",,
".xlsm","1","0","1","13228","0.013",,
".3-py3-none-any","1","1","0","32","0","1","1"
".jsp","1","1","0","3892","0.004","83","75"
".diff","1","0","1","2610","0.002",,
".lnk","1","0","1","1759","0.002",,
".jar","1","0","1","43462","0.041",,
".helmignore","1","1","0","127","0","8","8"
".7","1","0","1","1800497","1.717",,
".vba","1","1","0","1992","0.002","68","53"
".o","1","0","1","6094","0.006",,
".tf","1","1","0","3645","0.003","144","124"
".ql","1","1","0","216","0","12","10"
".backup","1","1","0","154932","0.148","2751","1983"
".pyw","1","1","0","570","0.001","17","17"
".python-version","1","1","0","4","0","1","1"
".bandit","1","1","0","594","0.001","26","23"
".eca","1","1","0","1974","0.002","73","55"
".consumed","1","1","0","31","0","1","1"
".browserslistrc","1","1","0","67","0","6","6"
".eslintcache","1","1","0","382","0","1","1"
".nmake","1","1","0","87","0","4","4"
".codexbak","1","1","0","1327","0.001","55","41"
".nu","1","1","0","3811","0.004","102","91"
".chm","1","0","1","64830","0.062",,
