"TopLevelFolder","FileCount","TextFileCount","BinaryFileCount","TotalBytes","TotalMiB","TotalLOC","TotalNonEmptyLOC"
"web","30087","30063","24","657010793","626.574","4013696","3794223"
".venv","22645","17415","5230","732983974","699.028","5785291","4975012"
".venv-linux","19131","15739","3392","764133859","728.735","5576438","4803141"
".mypy_cache","4484","4484","0","115196673","109.86","4487","4487"
".uv-python","3439","3123","316","55347544","52.784","758030","661406"
"src","1725","1724","1","64571389","61.58","251548","210132"
".uv-cache","983","956","27","10426521","9.944","226656","193160"
"security","973","562","411","85411772","81.455","185527","156686"
"unity","938","938","0","12220910","11.655","151483","137293"
"docs","556","554","2","7582443","7.231","234486","165302"
"external","492","488","4","6139048","5.855","133186","106924"
"emergent-microservices","339","339","0","699419","0.667","25218","20094"
"adversarial_tests","310","310","0","885382","0.844","34500","24529"
"archive","249","235","14","81827898","78.037","567669","541831"
"tests","243","243","0","2610892","2.49","72654","57682"
"thirsty_lang","236","236","0","15437142","14.722","267","262"
"engines","218","218","0","2166812","2.066","65042","52395"
".gradle","142","20","122","1798246","1.715","4054","3434"
"data","132","130","2","6679462","6.37","219397","219037"
"scripts","120","120","0","803849","0.767","23979","19932"
"[repo-root]","99","99","0","41756188","39.822","372090","368723"
".github","93","93","0","979048","0.934","28014","22196"
"k8s","77","77","0","379435","0.362","13305","10926"
"native_browser","75","71","4","45079289","42.991","229367","227679"
"octoreflex","67","67","0","495369","0.472","13878","11801"
"android","58","40","18","9116784","8.694","2373","2120"
"governance","56","56","0","390089","0.372","8866","7840"
"project_ai","47","47","0","290828","0.277","8871","7237"
"config","47","47","0","161010","0.154","5397","4747"
"deploy","46","46","0","490422","0.468","16056","12861"
"integrations","45","45","0","457498","0.436","15183","12041"
"gradle-evolution","42","42","0","488509","0.466","14655","11837"
"tarl_os","38","38","0","683897","0.652","22594","18541"
"examples","33","33","0","223067","0.213","7069","5564"
"tarl","33","33","0","139413","0.133","4426","3487"
"desktop","33","33","0","317807","0.303","9376","9040"
"e2e","30","30","0","319233","0.304","9938","7947"
"workspace","29","25","4","27625","0.026","899","782"
"demos","27","27","0","268351","0.256","7217","5929"
"kernel","26","26","0","315007","0.3","9380","7569"
"tools","23","23","0","90651","0.086","2806","2268"
"hardware_schematics","22","22","0","392842","0.375","10444","8480"
"helm","20","20","0","34339","0.033","1299","1192"
"cognition","18","18","0","30460","0.029","920","714"
"linguist-submission","18","18","0","54092","0.052","1918","1531"
"orchestrator","16","16","0","55945","0.053","1765","1416"
"api","15","15","0","79152","0.075","2728","2253"
"utils","13","13","0","37306","0.036","1216","953"
"h323_sec_profile","12","12","0","136811","0.13","5247","3701"
"taar","11","11","0","61783","0.059","1935","1574"
"canonical","10","10","0","140461","0.134","4303","3375"
"temporal","9","9","0","81836","0.078","2479","2011"
".antigravity","7","7","0","50970","0.049","1765","1476"
".vscode","6","6","0","51221","0.049","556","555"
"monitoring","6","6","0","28327","0.027","864","688"
"ci-reports","5","5","0","291440","0.278","7035","7035"
".venv_prod","5","5","0","32198","0.031","665","589"
"policies","5","5","0","10941","0.01","323","284"
"usb_installer","5","5","0","16115","0.015","505","426"
"benchmarks","5","5","0","48397","0.046","1445","1207"
"codeql-custom-queries-python","4","4","0","1862","0.002","69","62"
"gradle","4","3","1","49071","0.047","147","126"
".devcontainer","3","3","0","7809","0.007","270","211"
".codacy","3","3","0","5312","0.005","199","165"
".agent","3","3","0","2053","0.002","30","22"
".hypothesis","3","3","0","1672","0.002","12","9"
".githooks","2","2","0","654","0.001","29","20"
".pip-cache","2","0","2","7608","0.007",,
"man","2","2","0","7985","0.008","300","288"
"terraform","2","2","0","4177","0.004","165","139"
"test-artifacts","2","2","0","2206950","2.105","5001","5001"
"test-data","2","2","0","3826265","3.649","118171","118171"
"logs","2","1","1","341311","0.325","0","0"
"tmp","2","1","1","191491","0.183","317","285"
"validation_evidence","1","1","0","9626","0.009","349","247"
"Codex","1","1","0","267","0","6","4"
"Claude","1","1","0","269","0","6","4"
".circleci","1","1","0","13856","0.013","484","449"
"app","1","1","0","416","0","12","8"
"output","1","0","1","172242","0.164",,
".lsp","1","1","0","490","0","1","1"
".agents","1","1","0","316","0","8","5"
"plugins","1","1","0","1195","0.001","37","25"
