"RelativePath","TopLevelFolder","Directory","FileName","Extension","SizeBytes","SizeKiB","LastWriteTimeUtc","FileAgeDays","IsText","IsBinary","LineCount","NonEmptyLineCount","CharCount","AvgLineLength","MaxLineLength"
"web/node_modules/@next/swc-linux-x64-gnu/next-swc.linux-x64-gnu.node","web","web\node_modules\@next\swc-linux-x64-gnu","next-swc.linux-x64-gnu.node",".node","143144904","139789.945","2026-03-31T18:23:25.5116822Z","3.4","False","True",,,,,
"web/node_modules/@next/swc-linux-x64-musl/next-swc.linux-x64-musl.node","web","web\node_modules\@next\swc-linux-x64-musl","next-swc.linux-x64-musl.node",".node","142999600","139648.047","2026-03-31T18:23:25.3756931Z","3.4","False","True",,,,,
"native_browser/project_ai_browser_core/FULL_REPOSITORY_MANIFEST.md","native_browser","native_browser\project_ai_browser_core","FULL_REPOSITORY_MANIFEST.md",".md","33627154","32839.018","2026-04-04T03:01:58.5527328Z","0.04","True","False","220250","219862","33186466","150.676","281"
".venv/Scripts/ruff.exe",".venv",".venv\Scripts","ruff.exe",".exe","32287232","31530.5","2026-04-01T14:07:49.9351155Z","2.577","False","True",,,,,
".venv-linux/lib/python3.11/site-packages/PyQt6/Qt6/lib/libicudata.so.73",".venv-linux",".venv-linux\lib\python3.11\site-packages\PyQt6\Qt6\lib","libicudata.so.73",".73","32035888","31285.047","2026-03-31T23:02:15.2926375Z","3.206","False","True",,,,,
".venv/Lib/site-packages/temporalio/bridge/temporal_sdk_bridge.pyd",".venv",".venv\Lib\site-packages\temporalio\bridge","temporal_sdk_bridge.pyd",".pyd","29543936","28851.5","2026-04-01T14:08:55.8744295Z","2.576","False","True",,,,,
".venv-linux/lib/python3.11/site-packages/temporalio/bridge/temporal_sdk_bridge.abi3.so",".venv-linux",".venv-linux\lib\python3.11\site-packages\temporalio\bridge","temporal_sdk_bridge.abi3.so",".so","28786328","28111.648","2026-03-31T23:08:39.6646567Z","3.202","False","True",,,,,
"inventory.csv","[repo-root]",".","inventory.csv",".csv","25443171","24846.847","2026-04-04T02:51:55.5572761Z","0.047","True","False","144266","144266","25154621","174.363","303"
".venv-linux/lib/python3.11/site-packages/numpy.libs/libscipy_openblas64_-32a4b2a6.so",".venv-linux",".venv-linux\lib\python3.11\site-packages\numpy.libs","libscipy_openblas64_-32a4b2a6.so",".so","25409073","24813.548","2026-03-31T23:04:13.8735158Z","3.205","False","True",,,,,
".venv-linux/lib/python3.11/site-packages/scipy.libs/libscipy_openblas-6cdc3b4a.so",".venv-linux",".venv-linux\lib\python3.11\site-packages\scipy.libs","libscipy_openblas-6cdc3b4a.so",".so","24805561","24224.181","2026-03-31T23:06:36.9480163Z","3.203","False","True",,,,,
