"Module","Category","LOC","Size","Path"
"__main__","__main__","18","641","T:\Project-AI-main\src\app\__main__.py"
"ad_blocking/ad_database","ad_blocking","69","2405","T:\Project-AI-main\src\app\ad_blocking\ad_database.py"
"ad_blocking/autoplay_killer","ad_blocking","25","843","T:\Project-AI-main\src\app\ad_blocking\autoplay_killer.py"
"ad_blocking/holy_war_engine","ad_blocking","440","15508","T:\Project-AI-main\src\app\ad_blocking\holy_war_engine.py"
"ad_blocking/tracker_destroyer","ad_blocking","67","2330","T:\Project-AI-main\src\app\ad_blocking\tracker_destroyer.py"
"agents/alpha_red","agents","139","6121","T:\Project-AI-main\src\app\agents\alpha_red.py"
"agents/attack_train_loop","agents","185","7739","T:\Project-AI-main\src\app\agents\attack_train_loop.py"
"agents/border_patrol","agents","303","13518","T:\Project-AI-main\src\app\agents\border_patrol.py"
"agents/cerberus_codex_bridge","agents","295","13707","T:\Project-AI-main\src\app\agents\cerberus_codex_bridge.py"
"agents/ci_checker_agent","agents","128","5870","T:\Project-AI-main\src\app\agents\ci_checker_agent.py"
"agents/code_adversary_agent","agents","442","17698","T:\Project-AI-main\src\app\agents\code_adversary_agent.py"
"agents/codex_deus_maximus","agents","220","10496","T:\Project-AI-main\src\app\agents\codex_deus_maximus.py"
"agents/consigliere/action_ledger","agents","48","1924","T:\Project-AI-main\src\app\agents\consigliere\action_ledger.py"
"agents/consigliere/capability_manager","agents","75","3068","T:\Project-AI-main\src\app\agents\consigliere\capability_manager.py"
"agents/consigliere/consigliere_engine","agents","267","11780","T:\Project-AI-main\src\app\agents\consigliere\consigliere_engine.py"
"agents/consigliere/privacy_checker","agents","32","1344","T:\Project-AI-main\src\app\agents\consigliere\privacy_checker.py"
"agents/constitutional_guardrail_agent","agents","327","13379","T:\Project-AI-main\src\app\agents\constitutional_guardrail_agent.py"
"agents/dependency_auditor","agents","85","4123","T:\Project-AI-main\src\app\agents\dependency_auditor.py"
"agents/doc_generator","agents","56","2513","T:\Project-AI-main\src\app\agents\doc_generator.py"
"agents/expert_agent","agents","48","2339","T:\Project-AI-main\src\app\agents\expert_agent.py"
"agents/explainability","agents","32","1772","T:\Project-AI-main\src\app\agents\explainability.py"
"agents/firewalls/thirsty_honeypot_swarm_defense","agents","339","15300","T:\Project-AI-main\src\app\agents\firewalls\thirsty_honeypot_swarm_defense.py"
"agents/jailbreak_bench_agent","agents","563","23848","T:\Project-AI-main\src\app\agents\jailbreak_bench_agent.py"
"agents/knowledge_curator","agents","78","3255","T:\Project-AI-main\src\app\agents\knowledge_curator.py"
"agents/long_context_agent","agents","284","11932","T:\Project-AI-main\src\app\agents\long_context_agent.py"
"agents/oversight","agents","32","1724","T:\Project-AI-main\src\app\agents\oversight.py"
"agents/planner","agents","25","1436","T:\Project-AI-main\src\app\agents\planner.py"
"agents/planner_agent","agents","69","2963","T:\Project-AI-main\src\app\agents\planner_agent.py"
"agents/red_team_agent","agents","608","26348","T:\Project-AI-main\src\app\agents\red_team_agent.py"
"agents/red_team_persona_agent","agents","446","17644","T:\Project-AI-main\src\app\agents\red_team_persona_agent.py"
"agents/refactor_agent","agents","97","4546","T:\Project-AI-main\src\app\agents\refactor_agent.py"
"agents/retrieval_agent","agents","85","3952","T:\Project-AI-main\src\app\agents\retrieval_agent.py"
"agents/rollback_agent","agents","57","2430","T:\Project-AI-main\src\app\agents\rollback_agent.py"
"agents/safety_guard_agent","agents","435","18146","T:\Project-AI-main\src\app\agents\safety_guard_agent.py"
"agents/sandbox_runner","agents","93","4409","T:\Project-AI-main\src\app\agents\sandbox_runner.py"
"agents/sandbox_worker","agents","61","2454","T:\Project-AI-main\src\app\agents\sandbox_worker.py"
"agents/tarl_protector","agents","380","17325","T:\Project-AI-main\src\app\agents\tarl_protector.py"
"agents/test_qa_generator","agents","138","6773","T:\Project-AI-main\src\app\agents\test_qa_generator.py"
"agents/thirsty_lang_validator","agents","345","15970","T:\Project-AI-main\src\app\agents\thirsty_lang_validator.py"
"agents/ux_telemetry","agents","53","2213","T:\Project-AI-main\src\app\agents\ux_telemetry.py"
"agents/validator","agents","32","1720","T:\Project-AI-main\src\app\agents\validator.py"
"ai/ai_engine","ai","191","8229","T:\Project-AI-main\src\app\ai\ai_engine.py"
"ai/context_manager","ai","23","842","T:\Project-AI-main\src\app\ai\context_manager.py"
"ai/local_inference","ai","22","761","T:\Project-AI-main\src\app\ai\local_inference.py"
"alignment/panel_feedback","alignment","231","9169","T:\Project-AI-main\src\app\alignment\panel_feedback.py"
"audit/tamperproof_log","audit","156","6331","T:\Project-AI-main\src\app\audit\tamperproof_log.py"
"audit/trace_logger","audit","179","6967","T:\Project-AI-main\src\app\audit\trace_logger.py"
"browser/browser_engine","browser","204","8720","T:\Project-AI-main\src\app\browser\browser_engine.py"
"browser/content_blocker","browser","166","6599","T:\Project-AI-main\src\app\browser\content_blocker.py"
